Sample,Year,Area,pH_(input),Temperature,logfO2,HCO3-_(input),SiO2_(input),F-_(input),Cl-_(input),Br-_(input),SO4-2_(input),NO2-_(input),NO3-_(input),Li+_(input),Na+_(input),NH4+_(input),K+_(input),Mg+2_(input),Ca+2_(input),Fe+2_(input),HS-_(input),Pressure,Br-,Br3-,BrO-,BrO3-,BrO4-,Ca(CO3),Ca(HCO3)+,Ca(HSiO3)+,Ca+2,CaCl+,CaCl2,CaF+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,CO,CO2,CO3-2,F-,Fe+2,Fe+3,FeCl+,FeCl2,FeF+,FeF+2,FeO,FeO+,FeO2-,FeOH+,FeOH+2,H+,H2,H2N2O2,H2O,H2O2,H2S,HBrO,HCl,HClO,HCO3-,HF,HF2-,HFeO2,HFeO2-,HN2O2-,HNO2,HNO3,HO2-,HS-,HSiO3-,HSO3-,HSO4-,HSO5-,K+,KBr,KCl,KHSO4,KOH,KSO4-,Li+,LiCl,LiOH,Mg(CO3),Mg(HCO3)+,Mg(HSiO3)+,Mg+2,MgCl+,MgF+,MgOH+,MgSO4,N2,N2O2-2,Na+,NaBr,NaCl,NaF,NaHSiO3,NaOH,NaSO4-,NH3,NH4+,NO2-,NO3-,O2,OCN-,OH-,S2O5-2,S2O6-2,S2O8-2,SiF6-2,SiO2,SO2,SO3-2,SO4-2,pH,akermanite,andradite,anhydrite,anthophyllite,antigorite,aragonite,artinite,brucite,calcite,chalcedony,chrysotile,coesite,cristobalite,"cristobalite,alpha","cristobalite,beta",diopside,dolomite,enstatite,fluorite,forsterite,goethite,halite,hematite,huntite,hydromagnesite,magnesite,magnetite,merwinite,monticellite,nesquehonite,periclase,pyrite,quartz,sepiolite,sylvite,talc,tremolite,wollastonite,DEFAULT,HS-/SO4-2,NH4+/NO3-,NO2-/NO3-,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,CH4(g),CO(g),CO2(g),H2(g),H2O(g),H2S(g),N2(g),NH3(g),O2(g),S2(g),SO2(g),Br-_total,Ca+2_total,Cl-_total,F-_total,Fe+2_total,H+_total,HCO3-_total,HS-_total,K+_total,Li+_total,Mg+2_total,Na+_total,NH4+_total,NO2-_total,NO3-_total,OH-_total,SiO2_total,SO4-2_total
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,bar,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality
100119AX,-2147483648,-2147483648,7.2,33.8,-6.0,,0.000374571,8.22e-06,0.001152699,,0.000371236,,,4.18e-06,0.001261001,,3.72e-05,0.001272989,0.001064008,,,1.1781899039499562,,,,,,,,-7.8042,-3.1283,-6.3509,-9.7345,-7.5383,-8.3771,-4.6371,-2.976,-22.2319,-34.4823,-33.2697,-36.2927,,,,-5.1323,,,,,,,,,,,,-7.2,-40.2516,,-4.01841e-05,-20.6057,,,-10.9197,-21.9409,,-9.0874,-14.8057,,,,,,-24.9454,,-5.71,-44.4047,-8.7618,-31.9068,-4.4696,,-9.8774,-16.5916,-11.3983,-7.2213,-5.4173,-9.8742,-11.5916,,,-7.4933,-3.0475,-6.1397,-6.8008,-7.211,-4.4335,,,-2.9384,,-6.6602,-9.0259,-6.9163,-9.6683,-5.8601,,,,,-8.9496,,-6.5274,-93.6514,-66.8596,-47.7012,-37.0456,-3.4291,-49.649,-44.469,-3.6568,7.2,,,-3.32618,,,,,-6.16946,,0.23636,-3.92056,-0.50088,-0.14034,-0.14034,-0.73292,-6.29461,,-4.16579,-4.77623,,,,,,,,,,,,,,0.60658,-6.57063,,0.06462,,-7.74125,0.692,,,,0.0040703706245,106.6126,53.3063,0.00640313,0.0038179069837,-0.0017827216715,0.005853092296,0.00664943,0.0076358139675,,,,-37.13244,-1.36763,,,,-6,,-49.69315,,0.00106401,0.0011527,8.22e-06,,,,,3.72e-05,4.18e-06,0.00127299,0.001261,,,,2.61738e-06,0.000374571,0.000371236
100119AY,-2147483648,-2147483648,7.6,34.0,-6.0,,0.000366025,4.49e-06,0.000758036,,0.000254701,3.89e-06,,4.32e-06,0.000776082,,3.86e-05,0.001122814,0.00095842,,,1.1764925209185848,,,,,,,,-7.447,-3.1596,-6.5602,-10.1241,-7.8276,-7.9998,-4.815,-3.1549,-22.4043,-34.6501,-33.4416,-36.4674,,,,-5.3912,,,,,,,,,,,,-7.6,-40.2201,,-3.11492e-05,-20.5952,,,-11.4995,-22.5146,,-9.7446,-15.721,,,,-9.8868,,-24.5316,,-5.3219,-44.9202,-9.3066,-32.4389,-4.45,,-10.0345,-17.1144,-10.9717,-7.3486,-5.3998,-10.0351,-11.1679,,,-7.1458,-3.088,-6.3589,-7.0997,-6.8444,-4.6205,,,-3.1459,,-7.046,-9.4913,-6.7381,-9.4696,-6.2143,,,-5.4434,,-8.9508,,-6.1213,-94.683,-67.9135,-48.7745,-40.2198,-3.443,-50.5625,-44.5858,-3.8041,7.6,,,-3.57614,-9.68285,7.14867,,,-5.08866,,0.2122,-0.72556,-0.52509,-0.16439,-0.16439,-0.75668,-4.16878,,-3.10752,-5.55249,-8.44586,,,,,,,,,,,,,0.58242,-2.39717,,3.21261,-2.62315,-6.67334,0.667,,,0.667,0.0036992428385,121.2396,60.6198,0.0053067,0.0030511829886,-0.0012015615693,0.0049008044078,0.00546777,0.0061023659772,,,,-37.1006,-1.36274,,,,-6,,-50.60377,,0.00095842,0.000758036,4.49e-06,,,,,3.86e-05,4.32e-06,0.00112281,0.000776082,,3.89e-06,0.0,6.40116e-06,0.000366025,0.000254701
140114S,-2147483648,-2147483648,7.7,21.0,-6.0,0.004391597,0.0002,,0.00319,1.8e-06,0.000443,2.2e-07,0.000116,5.62e-07,0.0032,3.05e-07,0.000114,0.00201,0.000603,3.58e-07,,1.2367716966764404,-5.7895,-30.0009,-21.2238,-36.4155,-57.0185,-5.2363,-4.7999,-8.02,-3.4269,-6.2706,-9.1243,,-8.7522,-4.9288,-2.5431,-22.2416,-34.7973,-33.306,-36.1413,-48.0607,-3.7512,-5.1077,,-16.0221,-17.2113,-18.7218,-29.5024,,,-21.3097,-7.6658,-8.4796,-17.7608,-11.8209,-7.7,-42.3465,-57.3893,-0.000104589,-21.3089,,-20.2938,-10.9215,-22.3516,-2.4308,,,-6.4812,-22.4662,-56.7757,-11.135,-13.0189,-25.3784,,-5.6101,-46.9643,-9.3675,-33.3558,-3.9938,-11.5518,-9.1185,-16.8762,-10.8957,-6.7198,-6.2987,-10.3579,-12.3889,-5.0344,-4.2787,-7.2257,-2.8954,-5.564,,-7.0272,-4.2778,-9.1237,-60.1546,-2.544,-9.7034,-5.87,,-6.2601,-9.1902,-5.4532,-8.2426,-6.5738,-6.7023,-3.9818,-8.8598,-66.8913,-6.4426,-98.7425,-70.4634,-50.0094,,-3.7063,-52.8345,-46.4599,-3.6107,7.7,,3.51373,-3.71129,,,-0.27895,-6.85244,-5.47283,-0.08446,0.17797,-2.00452,-0.5564,-0.20514,-0.20514,-0.81809,-5.59793,2.11337,-3.62966,,-9.45924,7.30486,-8.95862,15.28649,-2.32424,,-0.02833,0.21415,,,-4.19562,,,0.54822,-3.83248,-9.8685,1.78189,-6.91761,-7.60208,0.696,,0.341,0.453,0.00010149872664,1.2311,0.6155,0.0110838,0.0082446018438,-0.0081938524805,0.0082953512071,0.0116927,0.016489203688,-135.83935,-45.09168,-2.33739,-39.25697,-1.6946,,-5.97135,-58.87598,-6,,-53.07687,1.8e-06,0.000603,0.00319,,3.58e-07,0.000145536,0.0043916,,0.000114,5.62e-07,0.00201,0.0032,3.05e-07,2.2e-07,0.000116,,0.0002,0.000443
120116Q,-2147483648,-2147483648,7.7,25.0,-6.0,0.00521696,0.000309412,4.34e-07,0.001280964,2.44e-07,0.000645792,1.41e-07,0.00013386,8.64e-07,0.001001003,2.35e-06,8.07e-05,0.002908044,0.000514,,3.33e-07,1.2306229574050833,-6.6577,-32.7328,-22.0264,-37.1537,-57.5663,-5.1683,-4.8045,-7.8662,-3.5049,-6.73,-10.0131,-9.2395,-8.6446,-4.8523,-2.9398,-22.4961,-34.9539,-33.5522,-36.448,-47.317,-3.704,-4.9978,-6.4263,,,,,,,,,,,,-7.7,-41.6745,-56.4156,-8.67066e-05,-21.0826,-7.2968,-21.1429,-11.3414,-22.6392,-2.3582,-10.9531,-17.9993,,,-55.7586,-11.3647,-12.9181,-25.0766,-6.5956,-5.3816,-46.1467,-9.1777,-32.8961,-4.1445,-12.5373,-9.6186,-16.7892,-10.8929,-6.7223,-6.1123,-10.5582,-12.0679,-4.7532,-4.0523,-6.8528,-2.7438,-5.8082,-7.8047,-6.7257,-3.9706,-8.7239,-59.0667,-3.0493,-11.0586,-6.761,-10.4672,-6.5901,-9.5605,-5.8058,-7.2353,-5.6901,-6.8959,-3.92,-8.8904,-65.6477,-6.3074,-97.1153,-69.314,-49.2767,-46.541,-3.5166,-51.9789,-45.662,-3.4672,7.7,,,-3.61718,-8.36408,15.73118,-0.20805,-6.0093,-4.97772,-0.01118,0.33006,-0.19726,-0.40521,-0.05106,-0.05106,-0.65745,-4.63437,2.63206,-2.95097,-8.6033,-8.25302,,,,-0.89602,,0.42017,,,,-3.77242,,,0.70031,-1.03204,,3.91842,-2.85223,-7.31074,0.685,-0.24,0.325,0.454,0.00015621274372,2.1001,1.05,0.0111338,0.007438388531,-0.0073602821591,0.0075164949028,0.0120705,0.014876777062,-133.61583,-44.31928,-2.24063,-38.57415,-1.58922,-6.31435,-5.54506,-57.74849,-6,-23.71859,-52.15621,2.44e-07,0.000514,0.00128096,4.34e-07,,0.000151735,0.00521696,3.33e-07,8.07e-05,8.64e-07,0.00290804,0.001001,2.35e-06,1.41e-07,0.00013386,,0.000309412,0.000645792
140116B,-2147483648,-2147483648,7.9,26.5,-6.0,0.00512687,0.000303,,0.00128,8.21e-07,0.000696,4.49e-07,0.00017,4.32e-07,0.00106,2.33e-07,9.54e-05,0.00281,0.000562,8.95e-07,2.5e-07,1.225169089221224,-6.1309,-31.5982,-21.4754,-36.5789,-56.9212,-4.9112,-4.7734,-7.6301,-3.4714,-6.6907,-9.986,,-8.3428,-4.7809,-2.9402,-22.4441,-34.8658,-33.4971,-36.4151,-47.2722,-3.916,-4.7879,,-16.1361,-17.8528,-19.2255,-30.0943,,,-20.6487,-7.6434,-7.7382,-17.5072,-12.1227,-7.9,-41.4266,-56.2943,-8.66247e-05,-20.9993,-7.6147,-20.8088,-11.5498,-22.7991,-2.3615,,,-6.0709,-21.5299,-55.4215,-11.0749,-12.9997,-24.7658,-6.6932,-5.1807,-46.0643,-9.3266,-32.9454,-4.0721,-11.9255,-9.5289,-16.8476,-10.5642,-6.6142,-6.4134,-10.8557,-12.1197,-4.554,-4.0727,-6.6724,-2.7622,-5.8262,,-6.4887,-3.9507,-8.8136,-58.5041,-3.0247,-10.5001,-6.7326,,-6.384,-9.2865,-5.7441,-8.0017,-6.702,-6.393,-3.8163,-8.9013,-65.3382,-6.058,-96.9537,-69.3285,-49.4446,,-3.5302,-52.0819,-45.3874,-3.4338,7.9,,6.97412,-3.52202,-4.32425,44.28389,0.13739,-5.1151,-4.34539,0.33515,0.2735,1.59326,-0.46211,-0.10687,-0.10687,-0.71086,-3.41956,3.27709,-2.36329,,-7.02073,7.6553,,16.03726,0.35349,-8.83443,0.72004,1.46541,,,-3.48619,,34.28654,0.64374,1.12269,,5.60535,1.26494,-6.68113,0.67,-0.255,0.315,0.428,-2.3511231265e-05,-0.3154,-0.1577,0.0111324,0.0074553870557,-0.0074671426714,0.0074436314401,0.0120275,0.014910774111,-133.0264,-44.26438,-2.43474,-38.32259,-1.55047,-6.61606,-5.6255,-57.45192,-6,-24.31737,-52.23561,8.21e-07,0.000562,0.00128,,8.95e-07,4.50238e-05,0.00512687,2.5e-07,9.54e-05,4.32e-07,0.00281,0.00106,2.33e-07,4.49e-07,0.00017,,0.000303,0.000696
100113AP,-2147483648,-2147483648,7.9,27.0,-6.0,0.005173618,0.000288049,1.58e-06,0.001431336,,0.000727386,7.69e-07,8.39e-05,6.92e-06,0.001159942,,7.8e-05,0.002679696,0.000581531,,,1.2229992891495494,,,,,,-4.884,-4.7547,-7.6329,-3.4575,-6.6261,-9.8766,-8.6233,-8.3063,-4.7434,-2.8916,-22.3781,-34.7878,-33.4301,-36.3555,-47.1855,-3.9145,-4.7792,-5.8638,,,,,,,,,,,,-7.9,-41.3444,-56.8034,-8.74988e-05,-20.9717,,,-11.5038,-22.7371,-2.3571,-10.5745,-17.05,,,-55.9255,-10.8454,-13.3015,-24.7292,,-5.198,-45.9597,-9.2986,-32.8843,-4.1595,,-9.5618,-16.901,-10.6331,-6.6788,-5.2087,-9.6011,-10.8986,-4.5644,-4.0894,-6.7121,-2.7838,-5.799,-7.28,-6.4921,-3.9487,-9.3927,-58.9997,-2.9855,,-6.6434,-9.8328,-6.3685,-9.231,-5.6815,,,-6.1592,-4.1229,-8.9049,-65.5049,-6.0417,-96.7455,-69.1786,-49.3456,-44.0871,-3.5523,-51.9724,-45.2854,-3.4117,7.9,,,-3.47118,-4.59388,43.22141,0.17305,-5.12515,-4.33795,0.3711,0.23051,1.53186,-0.50521,-0.1496,-0.1496,-0.75279,-3.44425,3.30785,-2.39484,-7.07098,-7.04072,,,,0.37623,-8.8539,0.71525,,,,-3.49603,,,0.60076,0.8828,,5.46118,1.0716,-6.67344,0.668,,,0.411,-0.00033178108262,-4.4387,-2.2194,0.011071,0.0074747088538,-0.0076405993951,0.0073088183125,0.0119687,0.014949417708,-132.75941,-44.17441,-2.42724,-38.23928,-1.53765,,-6.20148,-57.62838,-6,,-52.11829,,0.000581531,0.00143134,1.58e-06,,4.68779e-05,0.00517362,,7.8e-05,6.92e-06,0.0026797,0.00115994,,7.69e-07,8.39e-05,,0.000288049,0.000727386
120126F,-2147483648,-2147483648,8.0,31.8,-6.0,0.000277559,0.000456463,9.74e-07,0.000804529,7.87e-07,0.000327,1.25e-05,,5.95e-07,0.001171978,,5.07e-05,0.001419872,0.000379,,,1.1940758404478693,-6.137,-31.9714,-21.398,-36.4194,-56.5182,-6.0612,-6.1103,-7.3909,-3.565,-6.9496,-10.4723,-8.9059,-8.1006,-5.1121,-3.1287,-22.4514,-34.748,-33.4934,-36.4881,-47.7596,-5.2925,-5.8933,-6.0555,,,,,,,,,,,,-8.0,-40.5684,,-3.59079e-05,-20.7116,,-20.8882,-11.8639,-22.9462,-3.6105,-10.8272,-17.4759,,,,-9.762,,-24.285,,-4.8561,-45.5554,-9.6176,-32.8906,-4.3313,-12.1468,-9.9149,-17.3336,-10.5305,-7.1187,-6.2603,-10.8761,-11.6968,-5.858,-5.5409,-6.5796,-2.9888,-6.2364,-7.6692,-6.4233,-4.4136,,,-2.9668,-10.4232,-6.8475,-9.986,-6.0671,-8.9588,-5.9261,,,-4.9361,,-8.9371,,-5.7889,-95.948,-68.9317,-49.578,-45.6357,-3.3563,-51.6203,-44.808,-3.6883,8.0,,,-3.98947,-0.69434,65.67187,-1.48386,-6.61069,-3.98806,-1.28293,0.38513,2.91215,-0.35167,0.00742,0.00742,-0.58823,-2.32202,-0.06287,-1.85186,-7.91417,-6.10808,,,,-6.40499,,-0.99763,,,-9.3701,-5.26956,,,0.75536,3.09589,,7.1817,5.03857,-6.08605,0.649,,,0.649,0.0030533947605,95.7369,47.8685,0.00521525,0.0031893599019,-0.0016626625217,0.0047160572822,0.00542019,0.0063787198039,-131.63347,-44.71907,-3.75056,-37.45294,-1.41676,,,,-6,,-51.6935,7.87e-07,0.000379,0.000804529,9.74e-07,,,0.000277559,,5.07e-05,5.95e-07,0.00141987,0.00117198,,1.25e-05,0.0,1.72712e-05,0.000456463,0.000327
090123E,-2147483648,-2147483648,8.2,23.9,-6.0,0.004958841,0.000304677,,0.001369854,8.34e-07,0.000747848,,,9.65e-07,0.001084004,,9.11e-05,0.002664472,0.000508982,,,1.2335722369670148,-6.1232,-32.0949,-21.5098,-36.6546,-57.1191,-4.7177,-4.8344,-7.4131,-3.5188,-6.7182,-9.9626,,-8.209,-4.7954,-2.9098,-22.5048,-34.9893,-33.5632,-36.4425,-48.0158,-4.2129,-4.5234,,,,,,,,,,,,,-8.2,-41.8577,,-8.38699e-05,-21.1442,,-21.1137,-11.8052,-23.1391,-2.3738,,,,,,,,-24.6586,,-4.9134,-46.7566,-9.6166,-33.4086,-4.0912,-11.9586,-9.5482,-17.1879,-10.3812,-6.5964,-6.0634,-10.4821,-11.5556,-4.3272,-4.1117,-6.4258,-2.7867,-5.8216,,-6.3095,-3.943,,,-3.0142,-10.494,-6.699,,-6.0725,-9.0621,-5.6994,,,,,-8.8822,,-5.8441,-98.3329,-70.4014,-50.2506,,-3.5378,-53.0994,-45.7663,-3.3932,8.2,,,-3.5376,0.12793,74.21823,0.40983,-4.20099,-3.75679,0.60605,0.32929,3.45908,-0.40573,-0.05238,-0.05238,-0.66056,-2.14872,3.80975,-1.73952,,-5.82962,,,,1.39743,-7.16709,0.97978,,,-9.15813,-3.20422,,,0.69954,3.8727,,7.56627,5.76644,-6.03834,0.659,,,,-0.00036939806658,-5.1263,-2.5631,0.0107378,0.0072059528454,-0.0073906518787,0.0070212538121,0.011629,0.014411905691,-134.71753,-45.02568,-2.76293,-38.76017,-1.6179,,,,-6,,-53.29434,8.34e-07,0.000508982,0.00136985,,,,0.00495884,,9.11e-05,9.65e-07,0.00266447,0.001084,,,,6.71471e-05,0.000304677,0.000747848
140110B,-2147483648,-2147483648,8.4,23.5,-6.0,0.003633494,0.000183,,0.00158,1.1e-06,0.000346,3.04e-07,6.25e-05,1.73e-07,0.00131,,4.42e-05,0.00184,0.000485,3.58e-07,3.44e-07,1.234415452764932,-5.9983,-32.1075,-21.3914,-36.5426,-57.0261,-4.6505,-4.9601,-7.4458,-3.5141,-6.648,-9.822,,-8.0228,-5.0919,-2.8427,-22.4518,-34.9461,-33.5111,-36.3844,-48.4129,-4.5406,-4.4572,,-17.4763,-19.5157,-20.4726,-31.4113,,,-21.1916,-8.4487,-7.7159,-18.438,-13.3611,-8.4,-41.9246,-58.7821,-6.90428e-05,-21.1667,-7.9007,-21.1907,-11.9359,-23.2828,-2.5039,,,-6.4776,-21.6136,-57.4411,-11.7122,-13.9577,-24.4886,-6.5204,-4.9505,-47.3239,-10.1213,-33.9403,-4.3989,-12.1447,-9.7935,-18.0052,-10.5042,-7.2047,-6.8045,-11.1571,-12.11,-4.3957,-4.3748,-6.5948,-2.9194,-5.8873,,-6.2571,-4.377,-10.877,-60.0753,-2.9261,-10.2828,-6.5448,,-6.0161,-8.7874,-5.9123,,,-6.5568,-4.2449,-8.8792,-67.2312,-5.6575,-99.4666,-71.4875,-51.2952,,-3.771,-53.8705,-46.1316,-3.6933,8.4,,8.6694,-3.93941,-0.01525,79.71019,0.50223,-3.95974,-3.42479,0.6982,0.0231,3.8409,-0.71184,-0.35877,-0.35877,-0.9676,-1.90856,3.80134,-1.71689,,-5.47827,7.21255,-9.96894,15.12442,1.18601,-7.23245,0.8789,0.02776,,-8.61262,-3.30222,,33.39387,0.39335,3.3729,,7.33316,6.01347,-5.82147,0.648,-0.286,,0.396,-6.6015904413e-05,-1.1485,-0.5742,0.00824413,0.0057482368402,-0.0057812447925,0.005715228888,0.00870945,0.01149647368,-135.26183,-45.42556,-3.09554,-38.82813,-1.62837,-6.93486,-7.70786,-59.16995,-6,-25.49958,-54.07187,1.1e-06,0.000485,0.00158,,3.58e-07,,0.00363349,3.44e-07,4.42e-05,1.73e-07,0.00184,0.00131,,3.04e-07,6.25e-05,0.000101367,0.000183,0.000346
