,Year,Area,H+,Temperature,logfO2,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
100119AX,,,7.2,33.8,-6,,0.000374571,0.00000822,0.001152699,,0.000371236,,,0.00000418,0.001261001,,0.0000372,0.001272989,0.001064008,,
100119AY,,,7.6,34,-6,,0.000366025,0.00000449,0.000758036,,0.000254701,0.00000389,,0.00000432,0.000776082,,0.0000386,0.001122814,0.00095842,,
140114S,,,7.7,21,-6,0.004391597,0.0002,,0.00319,0.0000018,0.000443,0.00000022,0.000116,0.000000562,0.0032,0.000000305,0.000114,0.00201,0.000603,0.000000358,
120116Q,,,7.7,25,-6,0.00521696,0.000309412,4.34E-07,0.001280964,0.000000244,0.000645792,0.000000141,0.00013386,0.000000864,0.001001003,2.35E-06,0.0000807,0.002908044,0.000514,,0.000000333
140116B,,,7.9,26.5,-6,0.00512687,0.000303,,0.00128,0.000000821,0.000696,0.000000449,0.00017,0.000000432,0.00106,0.000000233,0.0000954,0.00281,0.000562,0.000000895,0.00000025
100113AP,,,7.9,27,-6,0.005173618,0.000288049,0.00000158,0.001431336,,0.000727386,0.000000769,8.39E-05,0.00000692,0.001159942,,0.000078,0.002679696,0.000581531,,
120126F,,,8,31.8,-6,0.000277559,0.000456463,9.74E-07,0.000804529,0.000000787,0.000327,0.0000125,,0.000000595,0.001171978,,0.0000507,0.001419872,0.000379,,
090123E,,,8.2,23.9,-6,0.004958841,0.000304677,,0.001369854,8.34E-07,0.000747848,,,0.000000965,0.001084004,,0.0000911,0.002664472,0.000508982,,
140110B,,,8.4,23.5,-6,0.003633494,0.000183,,0.00158,0.0000011,0.000346,0.000000304,0.0000625,0.000000173,0.00131,,0.0000442,0.00184,0.000485,0.000000358,0.000000344
