Sample,Temperature,Eh,O2,H+,HCO3-,Al+3,SbO2-,H2AsO4-,Ba+2,Be+2,Bi+3,B(OH)3,Br-,Cd+2,Ca+2,Ce+3,Cs+,Cl-,CrO4-2,Co+2,Cu+2,Dy+3,Er+3,Eu+2,F-,Gd+3,Ga+3,Au+,Hf+4,Ho+3,In+3,I-,Fe+2,La+3,Pb+2,Li+,Lu+3,Mg+2,Mn+2,Hg+2,MoO4-2,Nd+3,Ni+2,NbO3-,NO3-,NO2-,Pd+2,HPO4-2,Pt+2,K+,Pr+3,ReO4-,Rb+,Ru+3,Sm+3,Sc+3,SeO3-2,SiO2,Ag+,Na+,Sr+2,SO4-2,Tb+3,Tl+,Th+4,Tm+3,Sn+2,WO4-2,U+4,VO+2,Yb+3,Y+3,Zn+2,Zr+4
,degC,volts,ppm,pH,"Alk., mg/L CaCO3",ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
Newport Dump Outlet,14.2,0.39,,4.3,-34,14,0.02,1.7,14,0.35,0.1,16,0.036,0.065,140,0.41,0.68,7.3,0.5,52,0.45,0.1,0.058,0.013,0.1,0.1,0.14,0.0011,0.029,0.022,0.001,0.018,11000,0.22,0.08,110,0.007,84,6600,0.2,0.2,0.21,68,0.02,0.03,0.02,0.02,0.001,0.02,2.6,0.044,0.001,6.8,0.02,0.045,4,0.55,14,0.01,20,1700,740,0.02,0.036,0.015,0.007,0.1,0.2,0.006,0.041,0.037,1.3,13,0.03
GR DC-2B,14,0.78,9,2.9,-369,40000,0.02,1.1,4.9,11,0.01,120,0.029,1.5,310,82,0.2,1.7,13,160,24,26,13,6.6,0.1,30,1,0.0015,7.1,5,0.049,0.011,41000,20,0.7,190,1.2,110,5500,0.2,0.1,75,270,0.01,0.03,0.02,0.02,0.18,0.02,0.86,15,0.001,6,0.02,24,15,2.1,47,0.2,42,1800,1700,5.1,0.2,2.2,1.6,0.1,0.06,0.51,2.9,9.1,120,630,0.08
GR 4688-10,13.5,0.19,4,6,-52,160,0.01,3.6,11,0.3,0.01,130,0.056,0.09,270,2.8,0.2,4.9,0.5,23,2.9,0.83,0.42,0.17,0.1,1.1,1,0.0016,0.21,0.18,0.001,0.02,97000,0.95,0.1,110,0.039,96,3900,0.2,0.2,2.3,54,0.01,0.03,0.02,0.02,0.001,0.02,7.8,0.47,0.002,15,0.02,0.63,4.4,1,17,0.2,220,3600,1600,0.16,0.055,0.013,0.051,0.1,0.02,0.09,0.33,0.24,7.7,33,0.05
GR 4688-10a,12,0.19,0.6,6.5,309,8,0.01,2.9,17,0.1,0.01,110,0.045,0.02,150,0.01,0.046,12,0.8,0.67,0.8,0.006,0.005,0.003,0.1,0.007,0.08,0.0008,0.003,0.002,0.001,0.018,5300,0.005,0.1,59,0.001,50,560,0.2,0.25,0.012,9.5,0.01,0.03,0.02,0.05,0.001,0.02,5.1,0.003,0.002,6.6,0.02,0.005,6,0.2,12,0.2,180,3400,630,0.002,0.017,0.01,0.001,0.1,0.04,0.13,0.77,0.004,0.21,3.5,0.07
SO 0921-03,12,0.62,0.4,3.3,-354,24000,0.01,0.43,8.2,9.3,0.02,34,0.007,1.1,210,63,0.19,1.9,3,190,23,17,8.4,3.3,0.1,16,0.44,0.0011,0.19,3.3,0.013,0.007,97000,21,1,86,0.89,90,12000,0.2,0.1,42,250,0.01,0.03,0.02,0.02,0.011,0.02,2,9.3,0.001,10,0.02,13,15,1.2,28,0.2,2.6,470,1200,3,0.14,0.59,1.1,0.1,0.035,0.52,4.6,6.2,85,720,0.29
SO 0244-07,12,0.57,0.8,3.5,-247,14000,0.01,0.26,6.6,4.2,0.02,36,0.006,0.73,210,37,0.11,1.6,1.5,140,15,11,5.7,1.9,0.1,9.8,0.29,0.0011,0.13,2.2,0.007,0.002,76000,12,0.25,71,0.6,89,9600,0.2,0.09,24,180,0.01,0.03,0.02,0.02,0.005,0.02,1.4,5.2,0.001,5.9,0.02,7.2,7.5,0.9,17,0.2,1.9,430,1100,1.9,0.062,0.19,0.77,0.1,0.05,0.35,1.8,4.2,61,370,0.04
SO 0240-01,10.5,0.41,3.9,5.2,-108,2800,0.01,0.9,10,3.4,0.01,36,0.012,0.2,76,16,0.057,2.4,0.9,240,2,5.4,2.5,1.1,0.1,6.2,0.23,0.0005,1.3,1,0.001,0.002,45000,5.2,0.35,39,0.25,64,9200,0.2,0.1,12,250,0.01,0.03,0.02,0.02,0.001,0.02,2.2,2.4,0.001,5.3,0.02,4,4.5,0.5,15,0.2,2.3,140,550,1.1,0.064,0.007,0.31,0.1,0.04,0.22,0.49,1.7,30,520,0.03
SO 2512-04,9.5,0.7,1.1,3.1,-103,8300,0.01,0.1,24,4.3,0.01,34,0.011,1.1,19,18,0.091,1.3,1.5,160,17,4.6,2.6,0.93,0.1,4.7,0.16,0.0012,1.4,0.9,0.006,0.004,3100,6.8,4.6,67,0.28,24,6500,0.2,0.09,12,190,0.01,0.03,0.02,0.02,0.001,0.02,1.4,2.7,0.001,6.2,0.02,3.8,6.5,0.7,18,0.2,1.4,47,250,0.83,0.19,0.24,0.36,0.1,0.02,0.006,0.99,2,23,530,0.08
FA 7605-06,14.5,0.18,0.4,6.3,91,18,0.01,9.8,13,0.2,0.01,130,0.085,0.02,180,0.24,0.12,16,0.7,5,0.9,0.14,0.086,0.024,0.1,0.14,0.13,0.0011,0.045,0.03,0.001,0.026,64000,0.084,0.1,72,0.009,63,2600,0.2,0.52,0.26,12,0.01,0.03,0.02,0.02,0.058,0.02,5.7,0.042,0.001,13,0.02,0.076,10,0.3,18,0.2,79,1700,740,0.023,0.02,0.014,0.01,0.1,0.03,0.09,0.072,0.052,1.8,5.4,0.07
