A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,Sample: {sample_name},
A,Date created:  2024-01-02 10:24 PM,
A,EQ6 input file generated by AqEquil,
A,,
A,---,
A,
A,data0.dyn,
A,Water model: SUPCRT92,
A,TP points: 1,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,25.0000,500.0000,7.0000,6.9998,-0.6695,0.8004,13.5307,1.0000,
B1,8.9930E-13,0.000,25.0000,500.0000,7.0000,6.9998,-0.6695,0.8004,13.5307,1.0000,
B1,1.0000E-08,0.000,25.0000,500.0000,7.0013,7.0011,-0.6696,0.8004,13.5294,1.0000,
B1,1.0000E-07,0.000,25.0000,500.0000,7.0127,7.0125,-0.6697,0.7997,13.5180,1.0000,
B1,1.0000E-06,0.000,25.0000,500.0000,7.1199,7.1197,-0.6710,0.7933,13.4104,1.0000,
B1,1.0000E-05,0.000,25.0000,500.0000,7.6386,7.6380,-0.6842,0.7624,12.8885,1.0000,
B1,1.4766E-05,0.000,25.0000,500.0000,7.7496,7.7490,-0.6914,0.7558,12.7756,1.0000,
B1,1.0000E-04,0.000,25.0000,500.0000,8.5559,8.5542,-0.8450,0.7058,11.9309,1.0000,
B1,3.0097E-04,0.000,25.0000,500.0000,9.0327,9.0298,-73.2956,-0.3939,-6.6585,1.0000,
B1,3.6438E-04,0.000,25.0000,500.0000,9.1144,9.1111,-73.2956,-0.3987,-6.7402,1.0000,
B1,3.6682E-04,0.000,25.0000,500.0000,9.0528,9.0495,-75.6074,-0.4293,-7.2566,1.0000,
B1,4.0054E-04,0.000,25.0000,500.0000,9.0900,9.0866,-75.6074,-0.4315,-7.2937,1.0000,
B1,7.0439E-04,0.000,25.0000,500.0000,9.0900,9.0866,-75.6092,-0.4315,-7.2942,1.0000,
B1,7.0642E-04,0.000,25.0000,500.0000,9.1068,9.1034,-75.9754,-0.4379,-7.4026,1.0000,
B1,1.0000E-03,0.000,25.0000,500.0000,9.1068,9.1034,-75.9754,-0.4379,-7.4026,1.0000,
B1,1.6997E-03,0.000,25.0000,500.0000,9.1068,9.1034,-75.9756,-0.4379,-7.4026,1.0000,
B1,1.0000E-02,0.000,25.0000,500.0000,9.6324,9.6274,-83.7145,-0.5835,-9.8629,1.0000,
B1,0.1000,0.000,25.0000,500.0000,9.7615,9.7558,-85.8758,-0.6231,-10.5323,0.9997,
B1,0.2862,0.000,25.0000,500.0000,9.8166,9.8106,-86.8002,-0.6400,-10.8184,0.9991,
B1,1.000,0.000,25.0000,500.0000,9.8166,9.8106,-86.8002,-0.6400,-10.8184,0.9991,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,1.000,1.5649E-07,1.4771E-04,1.2826E-07,-9.4076E-09,0.0047,0.0047,1000.9630,1.0010,
B2,8.9930E-13,0.000,1.000,1.5649E-07,1.4771E-04,1.2826E-07,-9.4076E-09,0.0047,0.0047,1000.9630,1.0010,
B2,1.0000E-08,0.000,1.000,1.5695E-07,1.4772E-04,1.2917E-07,-9.0076E-09,0.0047,0.0047,1000.9630,1.0010,
B2,1.0000E-07,0.000,1.000,1.6113E-07,1.4777E-04,1.3738E-07,-5.4077E-09,0.0047,0.0047,1000.9630,1.0010,
B2,1.0000E-06,0.000,1.000,2.0628E-07,1.4829E-04,2.2413E-07,3.0591E-08,0.0048,0.0048,1000.9631,1.0010,
B2,1.0000E-05,0.000,1.000,6.8147E-07,1.5366E-04,1.2512E-06,3.9056E-07,0.0052,0.0052,1000.9633,1.0010,
B2,1.4766E-05,0.000,1.000,8.8031E-07,1.5647E-04,1.8178E-06,5.8116E-07,0.0054,0.0054,1000.9635,1.0010,
B2,1.0000E-04,0.000,1.000,5.6512E-06,1.2490E-04,1.2025E-05,3.9878E-06,0.0044,0.0044,1000.9628,1.0010,
B2,3.0097E-04,0.000,1.000,1.7035E-05,5.0724E-05,3.6251E-05,1.2047E-05,0.0020,0.0020,1000.9613,1.0010,
B2,3.6438E-04,0.000,1.000,2.0567E-05,5.8271E-05,4.3792E-05,1.4558E-05,0.0022,0.0022,1000.9615,1.0010,
B2,3.6682E-04,0.000,1.000,1.7894E-05,6.6989E-05,4.4329E-05,1.4725E-05,0.0029,0.0029,1000.9619,1.0010,
B2,4.0054E-04,0.000,1.000,1.9491E-05,7.0973E-05,4.8313E-05,1.6052E-05,0.0031,0.0031,1000.9620,1.0010,
B2,7.0439E-04,0.000,1.000,1.9494E-05,7.0961E-05,4.8313E-05,1.6052E-05,0.0031,0.0031,1000.9620,1.0010,
B2,7.0642E-04,0.000,1.000,2.0266E-05,6.8687E-05,4.8208E-05,1.6015E-05,0.0029,0.0029,1000.9619,1.0010,
B2,1.0000E-03,0.000,1.000,2.0266E-05,6.8687E-05,4.8208E-05,1.6015E-05,0.0029,0.0029,1000.9619,1.0010,
B2,1.6997E-03,0.000,1.000,2.0267E-05,6.8685E-05,4.8208E-05,1.6015E-05,0.0029,0.0029,1000.9619,1.0010,
B2,1.0000E-02,0.000,0.9998,6.8508E-05,1.4717E-03,1.0230E-04,3.3865E-05,0.0048,0.0048,1000.9631,1.0010,
B2,0.1000,0.000,0.9979,9.2626E-05,1.6612E-02,1.3746E-04,4.5426E-05,0.0360,0.0360,1000.9831,1.0009,
B2,0.2862,0.000,0.9940,1.0535E-04,4.7881E-02,1.5619E-04,5.1568E-05,0.0994,0.0995,1001.0237,1.0009,
B2,1.000,0.000,0.9747,1.0535E-04,4.7881E-02,1.5619E-04,5.1567E-05,0.0994,0.0995,1001.0237,1.0009,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Cl,Mg,Si,Fe,
C1,0.000,0.000,0.000,1.0000E-18,1.0000E-18,1.0000E-18,
C1,8.9930E-13,0.000,0.000,3.5973E-14,8.9930E-13,1.7595E-12,
C1,1.0000E-08,0.000,0.000,4.0000E-10,1.0000E-08,1.7580E-12,
C1,1.0000E-07,0.000,0.000,4.0000E-09,1.0000E-07,1.7446E-12,
C1,1.0000E-06,0.000,0.000,4.0000E-08,1.0000E-06,1.6353E-12,
C1,1.0000E-05,0.000,0.000,4.0000E-07,1.0000E-05,1.3713E-12,
C1,1.4766E-05,0.000,0.000,5.9064E-07,1.4757E-05,1.3488E-12,
C1,1.0000E-04,0.000,0.000,4.0000E-06,1.6789E-05,1.3777E-12,
C1,3.0097E-04,0.000,0.000,1.2039E-05,2.1622E-05,7.1260E-08,
C1,3.6438E-04,0.000,0.000,1.4575E-05,2.3126E-05,5.3351E-08,
C1,3.6682E-04,0.000,0.000,1.4673E-05,3.4236E-05,1.6124E-07,
C1,4.0054E-04,0.000,0.000,1.6022E-05,3.5297E-05,1.4132E-07,
C1,7.0439E-04,0.000,0.000,1.6021E-05,3.5282E-05,1.4138E-07,
C1,7.0642E-04,0.000,0.000,1.5980E-05,3.2209E-05,1.5335E-07,
C1,1.0000E-03,0.000,0.000,1.5980E-05,3.2209E-05,1.5335E-07,
C1,1.6997E-03,0.000,0.000,1.5980E-05,3.2205E-05,1.5335E-07,
C1,1.0000E-02,0.000,0.000,3.3989E-05,7.0567E-07,6.6814E-07,
C1,0.1000,0.000,0.000,4.5719E-05,2.5078E-07,1.2512E-06,
C1,0.2862,0.000,0.000,5.1975E-05,1.6201E-07,1.6861E-06,
C1,1.000,0.000,0.000,5.1975E-05,1.6201E-07,1.6861E-06,
C2,EndTable:,C1,
C2,
C2,
C2,Table C2,Dissolved elements(ppm: mg/kg.sol),
C2,Xi,t(days),Cl,Mg,Si,Fe,
C2,0.000,0.000,0.000,2.4305E-14,2.8085E-14,5.5847E-14,
C2,8.9930E-13,0.000,0.000,8.7432E-10,2.5257E-08,9.8262E-08,
C2,1.0000E-08,0.000,0.000,9.7220E-06,2.8085E-04,9.8178E-08,
C2,1.0000E-07,0.000,0.000,9.7220E-05,2.8085E-03,9.7433E-08,
C2,1.0000E-06,0.000,0.000,9.7220E-04,2.8085E-02,9.1327E-08,
C2,1.0000E-05,0.000,0.000,9.7220E-03,0.2809,7.6581E-08,
C2,1.4766E-05,0.000,0.000,1.4355E-02,0.4144,7.5326E-08,
C2,1.0000E-04,0.000,0.000,9.7220E-02,0.4715,7.6938E-08,
C2,3.0097E-04,0.000,0.000,0.2926,0.6073,3.9796E-03,
C2,3.6438E-04,0.000,0.000,0.3543,0.6495,2.9795E-03,
C2,3.6682E-04,0.000,0.000,0.3566,0.9615,9.0046E-03,
C2,4.0054E-04,0.000,0.000,0.3894,0.9913,7.8923E-03,
C2,7.0439E-04,0.000,0.000,0.3894,0.9909,7.8954E-03,
C2,7.0642E-04,0.000,0.000,0.3884,0.9046,8.5642E-03,
C2,1.0000E-03,0.000,0.000,0.3884,0.9046,8.5642E-03,
C2,1.6997E-03,0.000,0.000,0.3884,0.9045,8.5643E-03,
C2,1.0000E-02,0.000,0.000,0.8261,1.9819E-02,3.7313E-02,
C2,0.1000,0.000,0.000,1.111,7.0431E-03,6.9873E-02,
C2,0.2862,0.000,0.000,1.263,4.5496E-03,9.4152E-02,
C2,1.000,0.000,0.000,1.263,4.5496E-03,9.4152E-02,
C3,EndTable:,C2,
C3,
C3,
C3,Table C3,Dissolved elements(molarity),
C3,Xi,t(days),Cl,Mg,Si,Fe,
C3,0.000,0.000,0.000,1.0010E-18,1.0010E-18,1.0010E-18,
C3,8.9930E-13,0.000,0.000,3.6008E-14,9.0016E-13,1.7612E-12,
C3,1.0000E-08,0.000,0.000,4.0038E-10,1.0010E-08,1.7597E-12,
C3,1.0000E-07,0.000,0.000,4.0038E-09,1.0010E-07,1.7463E-12,
C3,1.0000E-06,0.000,0.000,4.0038E-08,1.0010E-06,1.6369E-12,
C3,1.0000E-05,0.000,0.000,4.0038E-07,1.0010E-05,1.3726E-12,
C3,1.4766E-05,0.000,0.000,5.9120E-07,1.4771E-05,1.3501E-12,
C3,1.0000E-04,0.000,0.000,4.0038E-06,1.6806E-05,1.3790E-12,
C3,3.0097E-04,0.000,0.000,1.2051E-05,2.1643E-05,7.1328E-08,
C3,3.6438E-04,0.000,0.000,1.4589E-05,2.3148E-05,5.3402E-08,
C3,3.6682E-04,0.000,0.000,1.4687E-05,3.4269E-05,1.6139E-07,
C3,4.0054E-04,0.000,0.000,1.6037E-05,3.5331E-05,1.4146E-07,
C3,7.0439E-04,0.000,0.000,1.6037E-05,3.5315E-05,1.4151E-07,
C3,7.0642E-04,0.000,0.000,1.5995E-05,3.2239E-05,1.5350E-07,
C3,1.0000E-03,0.000,0.000,1.5995E-05,3.2239E-05,1.5350E-07,
C3,1.6997E-03,0.000,0.000,1.5995E-05,3.2236E-05,1.5350E-07,
C3,1.0000E-02,0.000,0.000,3.4021E-05,7.0635E-07,6.6878E-07,
C3,0.1000,0.000,0.000,4.5762E-05,2.5102E-07,1.2524E-06,
C3,0.2862,0.000,0.000,5.2023E-05,1.6216E-07,1.6876E-06,
C3,1.000,0.000,0.000,5.2023E-05,1.6216E-07,1.6876E-06,
C4,EndTable:,C3,
C4,
C4,
C4,Table C4,Dissolved elements(ppm: mg/L),
C4,Xi,t(days),Cl,Mg,Si,Fe,
C4,0.000,0.000,0.000,2.4328E-14,2.8112E-14,5.5901E-14,
C4,8.9930E-13,0.000,0.000,8.7516E-10,2.5282E-08,9.8357E-08,
C4,1.0000E-08,0.000,0.000,9.7313E-06,2.8112E-04,9.8273E-08,
C4,1.0000E-07,0.000,0.000,9.7313E-05,2.8112E-03,9.7527E-08,
C4,1.0000E-06,0.000,0.000,9.7313E-04,2.8112E-02,9.1415E-08,
C4,1.0000E-05,0.000,0.000,9.7313E-03,0.2811,7.6655E-08,
C4,1.4766E-05,0.000,0.000,1.4369E-02,0.4148,7.5399E-08,
