A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,Sample: {sample_name},
A,Date created:  2023-02-02 12:11 PM,
A,EQ6 input file generated by AqEquil,
A,,
A,---,
A,
A,data0.dyn,
A,Water model: SUPCRT92,
A,TP points: 1,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,150.0000,500.0000,7.0000,6.9973,-0.6695,0.5238,6.2384,1.0000,
B1,6.8193E-10,0.000,150.0000,500.0000,7.0000,6.9973,-0.6695,0.5238,6.2384,1.0000,
B1,1.0000E-08,0.000,150.0000,500.0000,7.0000,6.9973,-0.6696,0.5238,6.2384,1.0000,
B1,1.0000E-07,0.000,150.0000,500.0000,7.0001,6.9973,-0.6697,0.5238,6.2383,1.0000,
B1,1.0000E-06,0.000,150.0000,500.0000,7.0007,6.9979,-0.6713,0.5237,6.2373,1.0000,
B1,1.0000E-05,0.000,150.0000,500.0000,7.0066,7.0038,-0.6875,0.5228,6.2274,1.0000,
B1,1.0000E-04,0.000,150.0000,500.0000,7.0581,7.0546,-0.8950,0.5142,6.1240,1.0000,
B1,1.6900E-04,0.000,150.0000,500.0000,7.0904,7.0864,-1.1704,0.5057,6.0229,1.0000,
B1,2.4731E-04,0.000,150.0000,500.0000,7.0578,7.0539,-46.8694,-0.4508,-5.3693,1.0000,
B1,3.7096E-04,0.000,150.0000,500.0000,7.0175,7.0138,-46.8849,-0.4477,-5.3329,1.0000,
B1,4.8083E-04,0.000,150.0000,500.0000,6.9895,6.9858,-51.4766,-0.5418,-6.4528,1.0000,
B1,4.8989E-04,0.000,150.0000,500.0000,6.9895,6.9858,-51.5452,-0.5432,-6.4700,1.0000,
B1,5.9074E-04,0.000,150.0000,500.0000,6.9594,6.9558,-52.0767,-0.5518,-6.5728,1.0000,
B1,1.0000E-03,0.000,150.0000,500.0000,6.9893,6.9855,-52.6903,-0.5672,-6.7560,1.0000,
B1,1.0259E-03,0.000,150.0000,500.0000,6.9906,6.9869,-52.7189,-0.5679,-6.7645,1.0000,
B1,1.0395E-03,0.000,150.0000,500.0000,6.9906,6.9869,-52.7189,-0.5679,-6.7645,1.0000,
B1,3.2014E-03,0.000,150.0000,500.0000,7.0295,7.0257,-53.8843,-0.5957,-7.0947,1.0000,
B1,7.3299E-03,0.000,150.0000,500.0000,7.0295,7.0258,-53.8843,-0.5957,-7.0948,1.0000,
B1,1.0000E-02,0.000,150.0000,500.0000,7.0456,7.0418,-54.1559,-0.6027,-7.1788,1.0000,
B1,0.1000,0.000,150.0000,500.0000,7.1467,7.1425,-56.2007,-0.6541,-7.7909,0.9997,
B1,0.4125,0.000,150.0000,500.0000,7.2020,7.1974,-57.4403,-0.6848,-8.1560,0.9988,
B1,1.000,0.000,150.0000,500.0000,7.2020,7.1974,-57.4403,-0.6848,-8.1560,0.9988,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,1.000,3.4772E-05,1.5586E-04,1.7436E-05,-5.7785E-06,0.0045,0.0000,0.0000,0.0000,
B2,6.8193E-10,0.000,1.000,3.4771E-05,1.5587E-04,1.7436E-05,-5.7785E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-08,0.000,1.000,3.4772E-05,1.5587E-04,1.7437E-05,-5.7781E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-07,0.000,1.000,3.4777E-05,1.5593E-04,1.7448E-05,-5.7747E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-06,0.000,1.000,3.4827E-05,1.5647E-04,1.7553E-05,-5.7403E-06,0.0045,0.0000,0.0000,0.0000,
B2,1.0000E-05,0.000,1.000,3.5326E-05,1.6190E-04,1.8600E-05,-5.3961E-06,0.0049,0.0000,0.0000,0.0000,
B2,1.0000E-04,0.000,1.000,4.0019E-05,2.1590E-04,2.9031E-05,-1.9748E-06,0.0091,0.0000,0.0000,0.0000,
B2,1.6900E-04,0.000,1.000,4.3290E-05,2.5696E-04,3.6986E-05,6.2594E-07,0.0124,0.0000,0.0000,0.0000,
B2,2.4731E-04,0.000,1.000,4.0137E-05,2.9087E-04,3.4907E-05,-5.7046E-08,0.0156,0.0000,0.0000,0.0000,
B2,3.7096E-04,0.000,1.000,3.6554E-05,4.0649E-04,3.3250E-05,-5.9598E-07,0.0228,0.0000,0.0000,0.0000,
B2,4.8083E-04,0.000,1.000,3.4392E-05,5.8215E-04,3.2709E-05,-8.1414E-07,0.0293,0.0000,0.0000,0.0000,
B2,4.8989E-04,0.000,1.000,3.4400E-05,5.8808E-04,3.2714E-05,-8.1360E-07,0.0293,0.0000,0.0000,0.0000,
B2,5.9074E-04,0.000,1.000,3.2132E-05,7.4582E-04,3.1304E-05,-1.2916E-06,0.0351,0.0000,0.0000,0.0000,
B2,1.0000E-03,0.000,1.000,3.4466E-05,8.0552E-04,3.2768E-05,-8.2533E-07,0.0300,0.0000,0.0000,0.0000,
B2,1.0259E-03,0.000,1.000,3.4577E-05,8.1157E-04,3.2842E-05,-8.0171E-07,0.0298,0.0000,0.0000,0.0000,
B2,1.0395E-03,0.000,1.000,3.4577E-05,8.1157E-04,3.2842E-05,-8.0171E-07,0.0298,0.0000,0.0000,0.0000,
B2,3.2014E-03,0.000,1.000,3.7921E-05,1.5331E-03,3.3960E-05,-4.7435E-07,0.0235,0.0000,0.0000,0.0000,
B2,7.3299E-03,0.000,0.9999,3.7923E-05,1.5331E-03,3.3960E-05,-4.7560E-07,0.0235,0.0000,0.0000,0.0000,
B2,1.0000E-02,0.000,0.9998,3.9380E-05,1.9092E-03,3.4597E-05,-2.7734E-07,0.0215,0.0000,0.0000,0.0000,
B2,0.1000,0.000,0.9979,5.0065E-05,1.6732E-02,4.2543E-05,2.1858E-06,0.0400,0.0000,0.0000,0.0000,
B2,0.4125,0.000,0.9914,5.7209E-05,6.9153E-02,5.0082E-05,4.4562E-06,0.1432,0.0000,0.0000,0.0000,
B2,1.000,0.000,0.9915,5.7208E-05,6.9153E-02,5.0082E-05,4.4572E-06,0.1432,0.0000,0.0000,0.0000,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Cl,Mg,Si,Fe,
C1,0.000,0.000,0.000,1.0000E-18,1.0000E-18,1.0000E-18,
C1,6.8193E-10,0.000,0.000,2.7277E-11,6.8193E-10,1.3358E-09,
C1,1.0000E-08,0.000,0.000,4.0000E-10,1.0000E-08,1.3358E-09,
C1,1.0000E-07,0.000,0.000,4.0000E-09,1.0000E-07,1.3359E-09,
C1,1.0000E-06,0.000,0.000,4.0000E-08,1.0000E-06,1.3365E-09,
C1,1.0000E-05,0.000,0.000,4.0000E-07,1.0000E-05,1.3427E-09,
C1,1.0000E-04,0.000,0.000,4.0000E-06,1.0000E-04,1.4006E-09,
C1,1.6900E-04,0.000,0.000,6.7600E-06,1.6900E-04,1.4406E-09,
C1,2.4731E-04,0.000,0.000,6.0087E-06,2.4456E-04,3.6259E-08,
C1,3.7096E-04,0.000,0.000,5.4175E-06,3.6429E-04,4.0169E-08,
C1,4.8083E-04,0.000,0.000,5.1199E-06,4.7059E-04,2.4373E-07,
C1,4.8989E-04,0.000,0.000,5.1188E-06,4.7059E-04,2.5017E-07,
C1,5.9074E-04,0.000,0.000,4.5798E-06,5.6524E-04,3.3205E-07,
C1,1.0000E-03,0.000,0.000,5.0695E-06,4.7448E-04,3.8812E-07,
C1,1.0259E-03,0.000,0.000,5.0944E-06,4.7062E-04,3.9100E-07,
C1,1.0395E-03,0.000,0.000,5.0944E-06,4.7062E-04,3.9101E-07,
C1,3.2014E-03,0.000,0.000,5.4250E-06,3.3725E-04,5.5279E-07,
C1,7.3299E-03,0.000,0.000,5.4244E-06,3.3725E-04,5.5276E-07,
C1,1.0000E-02,0.000,0.000,5.6379E-06,2.8873E-04,5.8901E-07,
C1,0.1000,0.000,0.000,8.2811E-06,8.9626E-05,1.0141E-06,
C1,0.4125,0.000,0.000,1.0768E-05,4.4147E-05,1.4455E-06,
C1,1.000,0.000,0.000,1.0768E-05,4.4147E-05,1.4455E-06,
C2,EndTable:,C1,
C2,
C2,
C2,Table C2,Dissolved elements(ppm: mg/kg.sol),
C2,Xi,t(days),Cl,Mg,Si,Fe,
C2,0.000,0.000,0.000,2.4305E-14,2.8085E-14,5.5847E-14,
C2,6.8193E-10,0.000,0.000,6.6297E-07,1.9152E-05,7.4599E-05,
C2,1.0000E-08,0.000,0.000,9.7220E-06,2.8085E-04,7.4600E-05,
C2,1.0000E-07,0.000,0.000,9.7220E-05,2.8085E-03,7.4603E-05,
C2,1.0000E-06,0.000,0.000,9.7220E-04,2.8085E-02,7.4638E-05,
C2,1.0000E-05,0.000,0.000,9.7220E-03,0.2809,7.4984E-05,
C2,1.0000E-04,0.000,0.000,9.7219E-02,2.809,7.8219E-05,
C2,1.6900E-04,0.000,0.000,0.1643,4.746,8.0450E-05,
C2,2.4731E-04,0.000,0.000,0.1460,6.868,2.0249E-03,
C2,3.7096E-04,0.000,0.000,0.1317,10.23,2.2432E-03,
C2,4.8083E-04,0.000,0.000,0.1244,13.22,1.3611E-02,
C2,4.8989E-04,0.000,0.000,0.1244,13.22,1.3971E-02,
C2,5.9074E-04,0.000,0.000,0.1113,15.87,1.8543E-02,
C2,1.0000E-03,0.000,0.000,0.1232,13.33,2.1675E-02,
C2,1.0259E-03,0.000,0.000,0.1238,13.22,2.1836E-02,
C2,1.0395E-03,0.000,0.000,0.1238,13.22,2.1836E-02,
C2,3.2014E-03,0.000,0.000,0.1319,9.472,3.0871E-02,
C2,7.3299E-03,0.000,0.000,0.1318,9.472,3.0869E-02,
C2,1.0000E-02,0.000,0.000,0.1370,8.109,3.2894E-02,
C2,0.1000,0.000,0.000,0.2013,2.517,5.6631E-02,
C2,0.4125,0.000,0.000,0.2617,1.240,8.0713E-02,
C2,1.000,0.000,0.000,0.2617,1.240,8.0715E-02,
D1,EndTable:,C2,
D1,
D1,
D1,Table D1,Solute basis species(total molality),
D1,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D1,0.000,0.000,-3.4671E-05,1.0000E-18,1.0000E-18,1.0000E-18,
D1,6.8193E-10,0.000,-3.4674E-05,2.7277E-11,6.8193E-10,1.3358E-09,
D1,1.0000E-08,0.000,-3.4675E-05,4.0000E-10,1.0000E-08,1.3358E-09,
D1,1.0000E-07,0.000,-3.4682E-05,4.0000E-09,1.0000E-07,1.3359E-09,
D1,1.0000E-06,0.000,-3.4754E-05,4.0000E-08,1.0000E-06,1.3365E-09,
D1,1.0000E-05,0.000,-3.5474E-05,4.0000E-07,1.0000E-05,1.3427E-09,
D1,1.0000E-04,0.000,-4.2674E-05,4.0000E-06,1.0000E-04,1.4006E-09,
D1,1.6900E-04,0.000,-4.8194E-05,6.7600E-06,1.6900E-04,1.4406E-09,
D1,2.4731E-04,0.000,-4.6761E-05,6.0087E-06,2.4456E-04,3.6259E-08,
D1,3.7096E-04,0.000,-4.5586E-05,5.4175E-06,3.6429E-04,4.0169E-08,
D1,4.8083E-04,0.000,-4.5398E-05,5.1199E-06,4.7059E-04,2.4373E-07,
D1,4.8989E-04,0.000,-4.5409E-05,5.1188E-06,4.7059E-04,2.5017E-07,
D1,5.9074E-04,0.000,-4.4495E-05,4.5798E-06,5.6524E-04,3.3205E-07,
D1,1.0000E-03,0.000,-4.5587E-05,5.0695E-06,4.7448E-04,3.8812E-07,
D1,1.0259E-03,0.000,-4.5642E-05,5.0944E-06,4.7062E-04,3.9100E-07,
D1,1.0395E-03,0.000,-4.5642E-05,5.0944E-06,4.7062E-04,3.9101E-07,
D1,3.2014E-03,0.000,-4.6628E-05,5.4250E-06,3.3725E-04,5.5279E-07,
D1,7.3299E-03,0.000,-4.6631E-05,5.4244E-06,3.3725E-04,5.5276E-07,
D1,1.0000E-02,0.000,-4.7132E-05,5.6379E-06,2.8873E-04,5.8901E-07,
D1,0.1000,0.000,-5.3334E-05,8.2811E-06,8.9626E-05,1.0141E-06,
D1,0.4125,0.000,-5.9398E-05,1.0768E-05,4.4147E-05,1.4455E-06,
D1,1.000,0.000,-5.9396E-05,1.0768E-05,4.4147E-05,1.4455E-06,
D2,EndTable:,D1,
D2,
D2,
D2,Table D2,Solute basis species(total ppm: mg/kg.sol),
D2,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D2,0.000,0.000,-0.0349,0.0000,0.0000,0.0000,
D2,6.8193E-10,0.000,-0.0349,0.0000,0.0000,0.0001,
D2,1.0000E-08,0.000,-0.0349,0.0000,0.0006,0.0001,
D2,1.0000E-07,0.000,-0.0350,0.0001,0.0060,0.0001,
D2,1.0000E-06,0.000,-0.0350,0.0010,0.0601,0.0001,
D2,1.0000E-05,0.000,-0.0358,0.0097,0.6008,0.0001,
