name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
Ag(OH),Ag(OH),Ag(OH),aq,WORM Complicator,NA,20251219,HKF,cal,-21896.48,-31782.66,17.153,-10.554,3.872,2.282,-2.209,6.618,-2.688,-0.369,-5.184,-0.038,0,4,0,-1.0000 Ag(OH) 1.0000 Ag+ 1.0000 OH-,,Ag+ H+ O-2,inorganic_aq,
Ag(O)-,Ag(O)-,Ag(O)-,aq,WORM Complicator,NA,20251219,HKF,cal,-5504.676,-16365.704,13.907,-31.354,-5.742,1.459,-4.22,7.409,-2.605,0.859,-9.421,1.418,-1,4,0,-1.0000 Ag(O)- 1.0000 H2O 1.0000 Ag+ -2.0000 H+,,Ag+ O-2,inorganic_aq,
Al(OH)+2,Al(OH)+2,Al(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-165523.088,-183378.799,-44.2,13.188,,,,,,29.808,-0.348,1.727,2,6,0,-1.0000 Al(OH)+2 1.0000 Al+3 1.0000 OH-,,Al+3 H+ O-2,inorganic_aq,
Al(O)+,Al(O)+,Al(O)+,aq,WORM Complicator,NA,20251219,HKF,cal,-158121.626,-175838.893,-27.0,-30.02,0.58,2.169,-2.485,6.727,-2.676,-2.578,-9.15,0.961,1,4,0,-1.0000 Al(O)+ 1.0000 H2O 1.0000 Al+3 -2.0000 H+,,Al+3 O-2,inorganic_aq,
HAl(O)2,HAl(O)2,HAl(O)2,aq,WORM Complicator,NA,20251219,HKF,cal,-207721.939,-232517.142,5.0,-35.4,12.95,3.524,0.824,5.426,-2.813,-14.93,-10.246,-0.038,0,4,0,-1.0000 HAl(O)2 2.0000 H2O 1.0000 Al+3 -3.0000 H+,,Al+3 H+ 2O-2,inorganic_aq,
Al(O)2-,Al(O)2-,Al(O)2-,aq,WORM Complicator,NA,20251219,HKF,cal,-198724.316,-222382.273,-7.874,-18.28,9.731,3.688,1.223,5.27,-2.83,11.56,-6.758,1.748,-1,4,0,-1.0000 Al(O)2- 2.0000 H2O 1.0000 Al+3 -4.0000 H+,,Al+3 2O-2,inorganic_aq,
Ba(OH)+,Ba(OH)+,Ba(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-172343.955,-181572.235,8.54,-0.736,6.266,2.765,-1.029,6.155,-2.736,9.626,-3.184,0.422,1,4,0,-1.0000 Ba(OH)+ 1.0000 Ba+2 1.0000 OH-,,Ba+2 H+ O-2,inorganic_aq,
Be(OH)+,Be(OH)+,Be(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-139873.372,-153200.03,-17.872,29.374,2.04,2.322,-2.111,6.58,-2.692,30.957,2.949,0.822,1,4,0,-1.0000 Be(OH)+ 1.0000 OH- 1.0000 Be+2,,H+ Be+2 O-2,inorganic_aq,
Be(O),Be(O),Be(O),aq,WORM Complicator,NA,20251219,HKF,cal,-128628.846,-144112.218,-25.082,13.093,0.887,1.874,-3.207,7.01,-2.646,13.49,-0.367,-0.038,0,4,0,-1.0000 Be(O) 1.0000 H2O -2.0000 H+ 1.0000 Be+2,,Be+2 O-2,inorganic_aq,
HBe(O)2-,HBe(O)2-,HBe(O)2-,aq,WORM Complicator,NA,20251219,HKF,cal,-172226.502,-206776.422,-33.292,51.906,3.377,2.948,-0.583,5.979,-2.755,56.24,7.539,2.133,-1,4,0,-1.0000 HBe(O)2- 2.0000 H2O -3.0000 H+ 1.0000 Be+2,,Be+2 H+ 2O-2,inorganic_aq,
