ID,Year,Temperature,Pressure,H+,HCO3-,O2,HS-,SiO2,CH4,H2,CO,F-,Cl-,Br-,SO4-2,HPO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Be+2,B(OH)3,Al+3,Ti+4,VO+2,CrO4-2,Mn+2,Co+2,Ni+2,Cu+2,Zn+2,Ga+3,H2AsO4-,Rb+,Sr+2,Y+3,Zr+4,NbO3-,MoO4-2,Cd+2,Sn+2,SbO2-,Cs+,Ba+2,La+3,Hf+4,WO4-2,Tl+,Pb+2,Th+4,U+4,Fe+2,Fe+3
,,degC,bar,pH,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
090723G,2009,79.1,1,5.18,0,0.000181257,2.99E-06,0.005002829,5.19E-08,2.69E-07,1.76E-07,0.00029213,0.000866217,9.64E-07,0.002121786,3.70E-06,6.58E-07,1.44E-06,2.23E-05,0.00303887,0.000207125,0.000638252,0.000312892,0.000505851,1.20E-07,8.60E-05,1.29E-05,1.04E-08,6.09E-08,6.92E-09,6.92E-06,5.09E-10,4.26E-09,1.42E-09,1.71E-07,1.29E-09,2.80E-08,1.40E-06,1.94E-06,1.08E-09,1.53E-09,1.40E-10,2.61E-08,1.87E-10,4.21E-11,4.93E-10,2.18E-08,6.19E-07,7.13E-10,5.04E-11,2.18E-08,8.81E-11,1.64E-10,5.60E-11,9.66E-11,7.70E-06,0
120724SD,2012,51.6,1,7.993,0.002176852,4.06E-05,9.67E-07,0.004759844,8.20E-09,9.38E-08,3.03E-07,0.000968503,0.010718416,1.39E-05,0.001162694,0,6.52E-07,4.84E-07,0.000437977,0.014800783,2.17E-05,0.0006031,5.76E-06,0.000103293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-07,0
120724SC,2012,38.1,1,8.425,0.001955381,0.00010625,5.61E-07,0.004709916,1.58E-08,1.10E-07,1.91E-07,0.000931657,0.010483457,1.40E-05,0.001157906,0,2.17E-07,1.29E-06,0.000439418,0.014437147,7.77E-06,0.000601054,5.35E-06,9.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58E-07,0
120719SV,2012,44.1,1,2.316,3.67E-06,1.32E-05,1.93E-06,0.004302167,6.75E-09,9.18E-08,3.03E-07,0.000131064,0.002817815,3.38E-06,0.005250442,0,2.17E-07,3.23E-07,0.000216107,0.005672466,0.00016824,0.00036805,6.58E-06,5.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52E-07,0
120715SZ,2012,85.4,1,7.289,0.005388163,1.56E-05,4.05E-07,0.004843058,9.59E-08,9.60E-08,3.92E-07,0.001300636,0.006709446,8.76E-06,0.00018549,0,6.52E-07,4.84E-07,0.000481199,0.012938669,3.33E-06,0.000370351,0,8.48E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16E-07,0
120715SA,2012,59.8,1,8.266,0.005262211,0.000103125,3.74E-07,0.005342343,1.12E-08,7.40E-08,3.56E-07,0.001337481,0.007034666,9.26E-06,0.000195274,0,4.35E-07,4.84E-07,0.000502809,0.013506307,1.11E-06,0.00038979,8.23E-08,9.48E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37E-07,0
140805TM,2014,49.7,1,2.944,0.000374688,3.13E-05,5.30E-07,0.001747495,1.36E-07,4.97E-09,0,2.53E-05,1.24E-05,3.00E-08,0.001209118,3.90E-08,5.22E-08,5.48E-07,1.44E-06,0.000317529,0.000232649,0.000211264,1.81E-05,4.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09E-06,0
140805SY,2014,81.7,1,4.344,3.33E-05,6.56E-05,2.49E-06,0.001464567,2.94E-08,7.72E-10,0,0.000195806,0.001001044,1.25E-06,0.000392943,0,5.22E-08,4.35E-06,4.61E-05,0.001383645,0.00010161,0.00010512,2.88E-06,1.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30E-06,0
140805SX,2014,52.2,1,4.436,0.000582848,1.88E-05,4.74E-06,0.002529707,0,9.17E-10,0,3.63E-05,3.55E-05,1.75E-07,0.001118976,4.11E-07,8.48E-08,3.56E-05,6.05E-06,0.000876903,0.00013437,0.00066474,5.51E-05,0.00016018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64E-05,0
