Sample,Year,AOA,AOA RA,Temperature,Pressure,H+,HCO3-,DOC,O2,HS-,SiO2,F-,Cl-,Br-,SO4-2,PO4-3,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,Fe+3,Cu+2
,,Yes/No,,degC,bar,pH,Molality,ppm,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
140724SC,2014,Yes,3.137337253,50,1,7.993,4.25E-04,0.5,0.0000813,1.56E-06,5.51E-06,0.000759357,0.009778828,1.33E-05,0.001104461,1.24E-07,1.70E-07,1.77E-07,0.00043376,0.014500061,0.0000229,0.000603734,6.41E-06,0.000118555,,,
140724SD,2014,Yes,1.321814896,54.8,1,7.745,4.71E-04,0.6,0.0000719,1.12E-06,5.31E-06,0.000754069,0.009780614,1.38E-05,0.001101343,1.71E-07,2.08E-07,2.42E-07,0.000436893,0.014261148,0.0000243,0.00060246,6.79E-06,0.000119566,,,
140724SE,2014,Yes,5.339490584,70.2,1,7.13,4.90E-04,0.5,0.000075,3.15E-06,4.41E-06,0.000739216,0.009702668,1.23E-05,0.001075011,,4.62E-08,1.16E-07,0.000419298,0.013951583,0.0000199,0.000589345,6.63E-06,0.000107982,,,
140725SI,2014,Yes,0.156291694,59.2,1,9.034,3.10E-04,0.9,0.000075,1.22E-05,7.97E-06,0.001444002,0.007095758,1.00E-05,0.000173258,1.34E-07,1.55E-07,9.35E-08,0.000242746,0.013669713,0.00000319,0.000266795,,0.0000079,,,
140725SJ,2014,No,0,64.6,1,9.044,3.58E-05,0.9,0.0000281,1.28E-05,7.41E-06,0.001432592,0.006979539,9.94E-06,0.000172341,1.23E-07,1.76E-07,7.42E-07,0.000249463,0.013703706,0.00000401,0.000276923,,0.0000107,,,
140725SK,2014,No,0,75.4,1,8.947,1.55E-03,1.6,0.0000188,2.62E-05,7.46E-06,0.001414253,0.006937317,9.15E-06,0.000159075,3.66E-08,9.24E-08,1.59E-07,0.000240192,0.013698295,0.000000833,0.000269682,,0.00000746,,,
140725SL,2014,No,0,67.9,1,9.015,5.45E-04,0.3,0.0000375,1.78E-05,6.37E-06,0.00143279,0.006978854,9.87E-06,0.000169529,1.32E-07,2.07E-07,3.79E-07,0.000232549,0.013280091,0.00000526,0.000258798,,0.00000733,,,
140726SO,2014,No,0,50.9,1,6.122,3.37E-05,1,0.0000688,5.61E-07,7.17E-06,0.000950473,0.012496636,1.63E-05,0.003058206,4.21E-08,4.08E-08,3.88E-07,0.000478915,0.018778246,0.00000381,0.00106623,8.65E-06,0.000199562,,,
140726SP,2014,No,0,58.8,1,5.769,4.13E-05,0.9,0.00005,7.17E-07,7.61E-06,0.000952745,0.012631706,1.58E-05,0.00302383,2.87E-08,2.34E-08,7.74E-08,0.000491986,0.018434455,0.00000539,0.00107995,6.75E-06,0.000201409,,,
