Sample,Total Dissolved Ammonia Oxidation (J/kg) energy supply,Total Dissolved Ammonia Oxidation (J/kg) limiting reactant
,J/kg fluid,limiting reactant
140724SC,6.545446355229326,NH4+
140724SD,6.8645218979131295,NH4+
140724SE,5.5694887707711045,NH4+
140725SI,0.9261891133456535,NH4+
140725SJ,1.148661113302747,NH4+
140725SK,0.23389835191542904,NH4+
140725SL,1.5129537750564621,NH4+
140726SO,0.9967883760429526,NH4+
140726SP,1.3937424738074216,NH4+
140726SQ,1.3342659924032432,NH4+
140726SR,0.841896389620586,NH4+
140727SU,,O2
140727SV,5.143460830493128,O2
140727SW,8.499085638819098,O2
140727SX,3.6900286557555417,O2
140727SY,1.1802570989017835,O2
140727SZ,8.472667673913831,O2
140729SD,22.592485284943415,O2
140729SE,24.380959718984244,O2
140730SI,1.516548694016024,NH4+
140730SJ,2.253446160230607,NH4+
140730SK,0.3730181316022854,NH4+
140730SL,0.7151106572056265,O2
140730SN,0.7669987054770246,NH4+
140731SP,14.859514966869524,O2
140731SQ,12.403182824208136,O2
140731SR,6.105485298569124,O2
140802SA,0.24726346980108524,NH4+
140802SB,0.3615859685998808,NH4+
140802SC,0.17275703276942828,NH4+
140803SG,9.03968380168842,O2
140803SH,3.7309101165485137,O2
140803SI,7.041471029463966,O2
140803SJ,13.02158601172888,O2
140803SO,14.452103064958317,O2
140803SP,1.3867429724166358,O2
140804SS,10.245216785587136,NH4+
140804ST,9.683666424350779,NH4+
140804SU,3.183056452913072,O2
140804SV,3.6332098831417015,O2
140805SA,1.1186527306911989,NH4+
140805SB,0.4224036357505866,NH4+
140805SC,1.2048988082982937,NH4+
140805SD,0.9932659230798597,NH4+
140805SE,0.24394841199003417,NH4+
140805SZ,0.7249666331337417,NH4+
210715TA,4.813368315386076,O2
210716SE,0.10148854977776536,NH4+
210716SG,3.9088236588092418,O2
210721TR,1.40459008248656,O2
210721TS,12.905951321377009,O2
210722TW,5.0800223969614855,O2
210722TX,9.025425119453127,O2
210724TB,,NH4+
210724TD,0.24919298114521454,NH4+
210725TJ,,O2
210726SX,4.2031490761248,NH4+
210726SY,0.735378898379483,NH4+
210727TT,24.407651329691976,NH4+
210727TU,1.1799483292690371,O2
220721SB,2.4627406735606674,NH4+
220722SE,2.2415139448058286,O2
220724TP,10.56131613292919,O2
220726SR,0.15618026054681458,NH4+
220726SS,0.1812681730074759,NH4+
220730SF,3.062482083730349,NH4+
220730SG,4.040288523135816,NH4+
220731SN,0.17352239223887841,O2
190718ZC,0.25276108670583586,NH4+
190718ZD,,O2
190719ZE,,NH4+
190719ZF,,O2
190719ZH,,O2
190720ZK,,O2
190720ZL,,O2
190720ZO,,O2
190721VQ,,O2
190721VR,,O2
190723VW,,O2
190723VZ,,O2
190724VA,,
190725ZG,1.6976601188685962,O2
190727VP,0.32030567932327403,NH4+
190727ZK,11.264316872501366,O2
190728VU,,O2
190728ZQ,0.908705958652413,NH4+
190728ZS,5.462303983939511,NH4+
190728ZT,0.06673079909724403,NH4+
190728ZU,,
190728ZV,,O2
190729VX,0.24184010964931918,O2
190730VC,2.6060365633294262,O2
190730VE,,O2
190730VF,3.5434652586503463,O2
190730VG,1.6233518309366597,O2
210715SA,1.942494313850617,O2
210716TG,1.8354930631999717,NH4+
210724SL,0.2522624839161317,NH4+
210724SK,0.21879529517138624,NH4+
210722SD,,
210720SY,1.1716805762865563,NH4+
210730TA,0.5121634732949328,O2
210718TJ,10.75876155893612,O2
210725SQ,3.2281683095524545,NH4+
210725SR,0.4478044462859978,NH4+
210725TL,,NH4+
