Sample,NH4+ Oxidation (J/kg) energy supply,NH4+ Oxidation (J/kg) limiting reactant
,J/kg fluid,limiting reactant
140724SC,5.248098923067942,NH4+
140724SD,5.789692766925391,NH4+
140724SE,5.033785007667728,NH4+
140725SI,0.1616597031400421,NH4+
140725SJ,0.15208579752245382,NH4+
140725SK,0.022755249026681815,NH4+
140725SL,0.18155192182453075,NH4+
140726SO,0.9933956043291782,NH4+
140726SP,1.3904018994940979,NH4+
140726SQ,1.3330962280266039,NH4+
140726SR,0.8372166811705143,NH4+
140727SU,,O2
140727SV,5.143460830492743,O2
140727SW,8.499085638818519,O2
140727SX,3.690028655755192,O2
140727SY,1.1802570989017458,O2
140727SZ,8.47266767391418,O2
140729SD,22.592485285623397,O2
140729SE,24.38095971971928,O2
140730SI,0.6192012149197101,NH4+
140730SJ,0.9569409630492665,NH4+
140730SK,0.16137316992568204,NH4+
140730SL,0.4471643302908022,NH4+
140730SN,0.34187798929433866,NH4+
140731SP,14.859514967009456,O2
140731SQ,12.40318282426924,O2
140731SR,6.105485298571597,O2
140802SA,0.029437718499289316,NH4+
140802SB,0.03288662266334211,NH4+
140802SC,0.013872826544786087,NH4+
140803SG,9.039683801687026,O2
140803SH,3.730910116548152,O2
140803SI,7.041471029464153,O2
140803SJ,13.021586011727864,O2
140803SO,14.452103065102657,O2
140803SP,1.386742972416628,O2
140804SS,10.24152956407196,NH4+
140804ST,9.6692631611333,NH4+
140804SU,3.183056452912844,O2
140804SV,3.6332098831417223,O2
140805SA,0.1518253938097832,NH4+
140805SB,0.055219385610206534,NH4+
140805SC,0.26352858221493863,NH4+
140805SD,0.16865190688082068,NH4+
140805SE,0.04426595189125014,NH4+
140805SZ,0.09590425118710413,NH4+
210715TA,4.535220312338852,NH4+
210716SE,0.022557812936357904,NH4+
210716SG,3.9088236588091068,O2
210721TR,1.4045900824865303,O2
210721TS,12.905951321377243,O2
210722TW,5.0800223969612,O2
210722TX,9.025425119452663,O2
210724TB,,NH4+
210724TD,0.12674520319937616,NH4+
210725TJ,,O2
210726SX,3.6715503429655723,NH4+
210726SY,0.19874984660143474,NH4+
210727TT,24.16970386308915,NH4+
210727TU,1.1799483292904704,O2
220721SB,2.462175782591229,NH4+
220722SE,2.2415139448057353,O2
220724TP,10.561316132945686,O2
220726SR,0.0629274000312753,NH4+
220726SS,0.05139386963909168,NH4+
220730SF,1.0968462207958576,NH4+
220730SG,4.039833044382051,NH4+
220731SN,0.1735223922388774,O2
190718ZC,0.13031331552148523,NH4+
190718ZD,,O2
190719ZE,,NH4+
190719ZF,,O2
190719ZH,,O2
190720ZK,,O2
190720ZL,,O2
190720ZO,,O2
190721VQ,,O2
190721VR,,O2
190723VW,,O2
190723VZ,,O2
190724VA,,
190725ZG,1.6976601188685874,O2
190727VP,0.3023932001795757,NH4+
190727ZK,11.264316872500986,O2
190728VU,,O2
190728ZQ,0.9087042203183592,NH4+
190728ZS,5.462296443518308,NH4+
190728ZT,0.0666980134885179,NH4+
190728ZU,,
190728ZV,,O2
190729VX,0.24184010964931793,O2
190730VC,2.6060365633294578,O2
190730VE,,O2
190730VF,3.5434652586501088,O2
190730VG,1.623351830936606,O2
210715SA,1.9424943138506205,O2
210716TG,0.8058174448048441,NH4+
210724SL,0.08899304624286643,NH4+
210724SK,0.07946210247987742,NH4+
210722SD,,
210720SY,1.1528033231685344,NH4+
210730TA,0.5121634732949192,O2
210718TJ,10.75876155899136,O2
210725SQ,3.203332964873916,NH4+
210725SR,0.44235470877360594,NH4+
210725TL,,NH4+
