Sample,pH_(input),Pressure,Temperature,O2_(input),Na+_(input),Cl-_(input),Ca+2_(input),HCO3-_(input),Pb+2_(input),CO,CO2,CO3-2,Ca+2,CaCO3,CaCl+,CaCl2,CaHCO3+,CaOH+,Cl-,ClO-,ClO2-,ClO3-,ClO4-,H+,H2,H2O,H2O2,HCO3-,HCl,HClO,HClO2,HO2-,HPbO2-,Na+,NaCl,NaOH,O2,OH-,Pb+2,PbCl+,PbCl2,PbCl3-,PbCl4-2,PbO,PbOH+,pH,aragonite,calcite,cerussite,halite,litharge,portlandite,DEFAULT,O2/H2O,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,Ca+2_Log_ion-H+_activity_ratio,Cl-_Log_ion-H+_activity_ratio,ClO-_Log_ion-H+_activity_ratio,ClO2-_Log_ion-H+_activity_ratio,ClO3-_Log_ion-H+_activity_ratio,ClO4-_Log_ion-H+_activity_ratio,HCO3-_Log_ion-H+_activity_ratio,Na+_Log_ion-H+_activity_ratio,OH-_Log_ion-H+_activity_ratio,Pb+2_Log_ion-H+_activity_ratio,CH4(g),CO(g),CO2(g),H2(g),H2O(g),O2(g),Ca+2_total,Cl-_total,H+_total,HCO3-_total,Na+_total,O2_total,OH-_total,Pb+2_total
,pH,bar,degC,ppm,ppm,mg/L,mg/L,"Alk., mg/L CaCO3",ppm,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality
F_10.00,10,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,6.413e-56,5.0758e-07,0.00075622,0.00040141,0.00027315,5.5123e-08,1.1482e-11,6.63e-06,9.3133e-08,0.00039479,1.4512999999999999e-21,9.869999999999998e-32,2.4807e-27,2.437e-27,1.0714e-10,1.3571e-47,55.364055576117075,5.2497e-20,0.0018818,9.1226e-15,6.5823e-24,6.771899999999999e-40,5.8139e-22,4.1431e-11,0.0030114,1.5915e-07,5.245e-08,0.00035011,3.2015e-05,7.8932e-12,6.0654e-14,7.2315e-17,1.4088e-20,4.1207e-24,9.2294e-10,4.2476e-08,10.0,1.95969,2.14796,-0.82189,-9.76305,-5.72768,-9.37099,0.67,0.67,9.94604182e-12,0.0,0.0,0.0049787,0.0038210648047,-0.0038210647997,0.0038210648097,0.00505577,0.0076421296094,16.47788,-13.43557,-30.86947,-41.03692,-36.63701,-36.64473,-12.75666,7.44573,-14.52623,8.76765,-155.07024,-52.31303,-5.02452,-43.81269,-1.98854,-0.68148,0.000681333,0.000395006,,0.00291832,0.00301164,0.000350114,0.00106107,4.34488e-08
F_9.95,9.95,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,7.2188000000000005e-56,5.7139e-07,0.00067197,0.0004182,0.00025603,5.7781e-08,1.2075e-11,6.9609e-06,8.6867e-08,0.0003948,1.4514999999999999e-21,9.8709e-32,2.4808e-27,2.4371e-27,1.2004e-10,1.3572e-47,55.364055576117075,5.2497e-20,0.001885,1.0252e-14,7.3975e-24,7.6106e-40,5.1738e-22,3.2997e-11,0.0028087,1.4893e-07,4.3674e-08,0.00035011,2.8489e-05,8.8348e-12,6.8332e-14,8.1742e-17,1.5926e-20,4.6433000000000005e-24,8.26e-10,4.2581e-08,9.95,1.92322,2.11149,-0.81772,-9.80045,-5.79021,-9.47414,0.673,0.673,4.5412822808e-11,0.0,0.0,0.0047424,0.0036522356303,-0.0036522356076,0.003652235653,0.00485301,0.0073044712605,16.39837,-13.38486,-30.81877,-40.98622,-36.58631,-36.59403,-12.70526,7.3662,-14.52623,8.71946,-155.01884,-52.26163,-4.97312,-43.81269,-1.98854,-0.68148,0.000681333,0.000395006,,0.00282054,0.00280888,0.000350114,0.000956087,4.34488e-08
F_9.90,9.9,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,8.122900000000001e-56,6.4299e-07,0.00059724,0.0004347,0.00023921,6.0394e-08,1.266e-11,7.286e-06,8.0803e-08,0.00039481,1.4515999999999999e-21,9.8717e-32,2.4809e-27,2.4372000000000002e-27,1.3452e-10,1.3572e-47,55.364055576117075,5.2497e-20,0.0018878,1.152e-14,8.3123e-24,8.551699999999999e-40,4.604699999999999e-22,2.6272e-11,0.0026256,1.3965e-07,3.6443e-08,0.00035011,2.5355e-05,9.8907e-12,7.6949e-14,9.2328e-17,1.799e-20,5.2298e-24,7.3892e-10,4.2674e-08,9.9,1.88493,2.07321,-0.81401,-9.83674,-5.85299,-9.57892,0.676,0.675,4.5836797465e-11,0.0,0.0,0.0045344,0.0035024689049,-0.003502468882,0.0035024689278,0.00466991,0.0070049378098,16.31761,-13.33423,-30.76813,-40.93558,-36.53567,-36.54339,-12.65401,7.2876,-14.52622,8.67107,-154.96758,-52.21038,-4.92188,-43.81269,-1.98854,-0.68148,0.000681333,0.000395006,,0.00273221,0.00262578,0.000350114,0.000861323,4.34488e-08
F_9.85,9.85,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,9.1374e-56,7.2333e-07,0.00053094,0.0004508,0.00022279,6.2946e-08,1.323e-11,7.6032e-06,7.496e-08,0.00039481,1.4517e-21,9.8724e-32,2.481e-27,2.4373e-27,1.5076e-10,1.3573e-47,55.364055576117075,5.2498e-20,0.0018903,1.2943e-14,9.338900000000001e-24,9.6079e-40,4.0988999999999997e-22,2.0912e-11,0.0024602,1.312e-07,3.0476e-08,0.00035011,2.2569e-05,1.1075e-11,8.6619e-14,1.0421e-16,2.0308e-20,5.888e-24,6.6075e-10,4.2756e-08,9.85,1.84486,2.03314,-0.8107,-9.87187,-5.91599,-9.6853,0.678,0.678,1.2141431523e-11,0.0,0.0,0.00435132,0.0033695723865,-0.0033695723804,0.0033695723926,0.00450448,0.006739144773,16.23561,-13.28365,-30.71756,-40.88501,-36.4851,-36.49282,-12.6029,7.20994,-14.52622,8.62251,-154.91647,-52.15927,-4.87076,-43.81269,-1.98854,-0.68148,0.000681333,0.000395006,,0.00265237,0.00246035,0.000350114,0.00077573,4.34488e-08
F_9.80,9.8,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.0276e-55,8.1347e-07,0.00047211,0.00046643,0.00020686,6.5423e-08,1.3785e-11,7.911e-06,6.9354e-08,0.00039482,1.4518e-21,9.873e-32,2.4811e-27,2.4374e-27,1.6898e-10,1.3574e-47,55.364055576117075,5.2498e-20,0.0018925,1.454e-14,1.0491e-23,1.0793e-39,3.6489999999999996e-22,1.6641e-11,0.0023107,1.2353e-07,2.5543e-08,0.00035011,2.0091e-05,1.2403e-11,9.747e-14,1.1755e-16,2.2909000000000002e-20,6.626500000000001e-24,5.9064e-10,4.2829e-08,9.8,1.80306,1.99133,-0.80774,-9.90583,-5.97919,-9.79326,0.681,0.681,9.3699535977e-12,0.0,0.0,0.00419015,0.003251609244,-0.0032516092393,0.0032516092487,0.00435494,0.0065032184879,16.1524,-13.23314,-30.66704,-40.83449,-36.43458,-36.4423,-12.55191,7.13326,-14.52622,8.5738,-154.86548,-52.10828,-4.81978,-43.81268,-1.98854,-0.68148,0.000681333,0.000395006,,0.00258017,0.00231081,0.000350114,0.000698387,4.34488e-08
F_9.75,9.75,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.1553e-55,9.1461e-07,0.00041988,0.0004815,0.00019149,6.7812e-08,1.4319e-11,8.2077e-06,6.4001e-08,0.00039482,1.4518e-21,9.8736e-32,2.4812e-27,2.4375e-27,1.8942e-10,1.3574e-47,55.364055576117075,5.2498e-20,0.0018944,1.6331e-14,1.1784e-23,1.2123e-39,3.2489e-22,1.324e-11,0.0021755,1.1656e-07,2.1458e-08,0.00035011,1.7888e-05,1.3892e-11,1.0965e-13,1.3253e-16,2.5829e-20,7.4552e-24,5.278e-10,4.2894e-08,9.75,1.75957,1.94784,-0.80512,-9.93856,-6.04258,-9.90277,0.684,0.684,7.2265323066e-12,0.0,0.0,0.00404825,0.0031468688154,-0.0031468688118,0.003146868819,0.00421976,0.0062937376308,16.068,-13.18267,-30.61658,-40.78402,-36.38412,-36.39184,-12.50103,7.05756,-14.52622,8.52494,-154.81459,-52.0574,-4.7689,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00251489,0.00217563,0.000350114,0.000628481,4.34488e-08
F_9.70,9.7,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.2986e-55,1.0281e-06,0.00037351,0.00049595,0.00017676,7.0103e-08,1.4832e-11,8.4921e-06,5.8911e-08,0.00039483,1.4519e-21,9.874e-32,2.4813000000000002e-27,2.4376e-27,2.1235e-10,1.3575e-47,55.364055576117075,5.2498e-20,0.0018961,1.8342e-14,1.3234e-23,1.3615e-39,2.8929e-22,1.0532e-11,0.0020533,1.1023e-07,1.8068e-08,0.00035011,1.5928e-05,1.5563e-11,1.2331e-13,1.4934e-16,2.9106e-20,8.385e-24,4.7151e-10,4.2951e-08,9.7,1.71445,1.90273,-0.80278,-9.97003,-6.10613,,0.687,0.687,5.5699945524e-12,0.0,0.0,0.0039233,0.0030538403987,-0.0030538403959,0.0030538404015,0.00409753,0.0061076807974,15.98245,-13.13225,-30.56616,-40.7336,-36.3337,-36.34142,-12.45024,6.98289,-14.52622,8.47596,-154.76381,-52.00662,-4.71812,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00245586,0.0020534,0.000350114,0.000565289,4.34488e-08
F_9.65,9.65,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.4594e-55,1.1554e-06,0.00033231,0.00050973,0.00016271,7.2287e-08,1.5322e-11,8.7631e-06,5.4094e-08,0.00039483,1.452e-21,9.8745e-32,2.4814e-27,2.4376e-27,2.3808e-10,1.3575e-47,55.364055576117075,5.2498e-20,0.0018976,2.0597e-14,1.4862e-23,1.529e-39,2.5762e-22,8.3766e-12,0.0019428,1.0448e-07,1.5251e-08,0.00035011,1.4184e-05,1.7437e-11,1.3864e-13,1.682e-16,3.2783e-20,9.4283e-24,4.2111e-10,4.3002e-08,9.65,1.66779,1.85606,-0.80071,,-6.16983,,0.69,0.689,4.2910137249e-12,0.0,0.0,0.00381323,0.0029711897859,-0.0029711897838,0.0029711897881,0.00398705,0.0059423795719,15.89579,-13.08188,-30.51578,-40.68323,-36.28332,-36.29104,-12.39955,6.90927,-14.52622,8.42686,-154.71312,-51.95593,-4.66742,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.0024025,0.00194292,0.000350114,0.000508168,4.34488e-08
F_9.60,9.6,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.6398e-55,1.2982e-06,0.00029571,0.0005228,0.00014939,7.4358e-08,1.5785e-11,9.02e-06,4.9554e-08,0.00039483,1.452e-21,9.8748e-32,2.4814e-27,2.4377e-27,2.6694e-10,1.3575e-47,55.364055576117075,5.2498e-20,0.0018988,2.3128e-14,1.6688e-23,1.7169e-39,2.2943999999999997e-22,6.6612e-12,0.001843,9.9271e-08,1.2904e-08,0.00035011,1.2632e-05,1.954e-11,1.5583e-13,1.8936e-16,3.6909000000000003e-20,1.0598999999999999e-23,3.7601e-10,4.3046e-08,9.6,1.61965,1.80793,-0.79887,,-6.23367,,0.692,0.692,3.3048130205e-12,0.0,0.0,0.00371625,0.0028977383988,-0.0028977383972,0.0028977384005,0.0038872,0.0057954767977,15.80808,-13.03154,-30.46545,-40.63289,-36.23299,-36.24071,-12.34893,6.83671,-14.52622,8.37767,-154.6625,-51.90531,-4.61681,-43.81268,-1.98853,-0.68148,0.000681333,0.000395006,,0.00235427,0.00184307,0.000350114,0.000456543,4.34488e-08
