,Year,Area,Temperature,H+,HCO3-,O2,HS-,SiO2,METHANE,H2,CO,F-,Cl-,Br-,SO4-2,HPO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Be+2,B(OH)3,Al+3,VO+2,CrO4-2,Mn+2,Fe+2,Co+2,Ni+2,Cu+2,Zn+2,Ga+3,H2AsO4-,Rb+,Sr+2,Y+3,Zr+4,NbO3-,MoO4-2,Cd+2,Sn+2,SbO2-,Cs+,Ba+2,La+3,Hf+4,WO4-2,Tl+,Pb+2,U+4,Hg+2,Fe+3
,,,degC,pH,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
Sample 1,,,77.4,1.755,0.000707744,2.09E-05,1.98E-05,0.000748927,0,0,0,3.26E-07,8.46E-06,1.13E-08,0.012345477,8.53E-08,3.26E-08,1.56E-07,1.34E-07,1.87E-05,0.001748473,4.02E-05,3.13E-06,5.49E-06,0,0,0,0,0,0,5.73E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 2,,,87.7,1.94,0.000113239,4.06E-05,6.77E-06,0.003686383,0,0,0,5.95E-05,0.003615773,4.00E-06,0.009720829,4.21E-07,0,1.61E-07,0.000154156,0.004880383,0.000431427,0.000489283,1.52E-05,5.41E-05,0,0,0,0,0,0,4.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 3,,,89.9,2.038,0.000108243,2.00E-05,4.52E-06,0.003644776,0,0,0,0.000107377,0.003239782,4.13E-06,0.010124388,3.58E-07,9.13E-08,2.10E-07,0.000152716,0.004447586,0.000344253,0.00045987,1.93E-05,6.64E-05,0,0,0,0,0,0,5.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 4,,,73.6,2.186,0.000769628,0,0,0,0,0,0,0.000127906,0.003133726,3.48E-06,0.005677839,0,0,1.11E-05,0.000245786,0.006207047,0.000231538,0.000317663,0,5.69E-05,1.59E-07,0.000147997,0.000277968,1.16E-08,2.31E-09,5.37E-07,1.40E-05,6.79E-10,4.26E-09,3.93E-09,4.59E-07,6.60E-08,7.07E-06,1.80E-06,3.08E-08,5.96E-08,7.02E-10,4.74E-10,1.19E-07,3.56E-10,2.02E-10,1.78E-07,1.27E-06,8.30E-09,1.32E-08,6.72E-11,1.38E-07,1.57E-09,6.47E-09,4.75E-09,0,0
Sample 5,,,58.3,2.3,0.000258118,2.81E-05,1.87E-06,0.005408914,0,0,0,1.19E-05,0.000188983,2.13E-07,0.006693036,3.58E-07,0,8.71E-07,1.38E-05,0.001610265,0.00019156,0.000604635,6.34E-05,0.000165669,2.21E-07,3.51E-05,0.000815373,9.03E-08,3.08E-08,1.82E-06,5.73E-05,5.09E-09,1.87E-08,1.76E-09,5.63E-07,3.30E-08,5.74E-07,2.02E-06,3.08E-07,2.14E-07,3.07E-10,3.87E-10,1.77E-09,4.27E-10,4.38E-10,1.17E-08,9.10E-08,1.65E-07,1.43E-07,4.48E-11,3.21E-09,2.54E-09,6.42E-09,3.70E-09,0,0
Sample 6,,,62.3,2.362,0.00020816,2.50E-05,6.24E-07,0.003994275,0,0,0,4.37E-05,0.000149776,1.75E-07,0.007575518,0,3.91E-08,8.39E-08,6.48E-06,0.001684211,0.000202665,0.000622794,7.32E-05,0.000151697,0,0,0,0,0,0,5.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 7,,,52.9,2.436,0,3.13E-06,1.95E-05,0.00458343,0,0,0,0.000139485,0.002948693,2.42E-06,0.004370667,0,9.06E-06,6.19E-06,0.000120876,0.004126142,0.000126596,0.00040309,1.90E-05,0.000148703,2.10E-07,0.000203496,0.001015511,5.10E-08,2.69E-08,3.82E-06,6.68E-05,6.79E-09,1.53E-08,3.78E-09,8.11E-07,9.18E-08,5.21E-06,1.30E-06,2.51E-07,1.23E-07,2.96E-09,1.08E-10,1.20E-08,4.63E-10,1.18E-10,8.54E-09,3.91E-07,2.48E-07,1.32E-07,4.48E-11,8.98E-09,1.04E-09,1.03E-08,3.78E-09,0,0
Sample 8,,,47.1,2.507,6.66E-05,8.13E-05,1.86E-05,0.001814067,0,0,0,0.000178436,0.004369447,5.51E-06,0.005515353,3.47E-07,1.26E-07,2.58E-07,0.000269414,0.006554154,0.000176569,0.000756816,2.26E-05,0.000120509,0,0,0,0,0,0,6.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample 9,,,36.8,2.7,8.33E-06,1.53E-05,1.28E-06,0.004976201,0,0,0,0.000448459,0.010161904,1.33E-05,0.003757052,2.11E-08,0,8.06E-08,0.000635355,0.012652023,0.000110494,0.000686224,4.94E-06,0.000116517,0,0,0,0,0,0,1.61E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
