,Year,Area,H+,Temperature,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
100119AX,,,7.2,33.8,,0.000374571,0.00000822,0.001152699,,0.000371236,,,0.00000418,0.001261001,,0.0000372,0.001272989,0.001064008,,
100119AY,,,7.6,34,,0.000366025,0.00000449,0.000758036,,0.000254701,0.00000389,,0.00000432,0.000776082,,0.0000386,0.001122814,0.00095842,,
140114S,,,7.7,21,0.004391597,0.0002,,0.00319,0.0000018,0.000443,0.00000022,0.000116,0.000000562,0.0032,0.000000305,0.000114,0.00201,0.000603,0.000000358,
120116Q,,,7.7,25,0.00521696,0.000309412,4.34E-07,0.001280964,0.000000244,0.000645792,0.000000141,0.00013386,0.000000864,0.001001003,2.35E-06,0.0000807,0.002908044,0.000514,,0.000000333
140116B,,,7.9,26.5,0.00512687,0.000303,,0.00128,0.000000821,0.000696,0.000000449,0.00017,0.000000432,0.00106,0.000000233,0.0000954,0.00281,0.000562,0.000000895,0.00000025
100113AP,,,7.9,27,0.005173618,0.000288049,0.00000158,0.001431336,,0.000727386,0.000000769,8.39E-05,0.00000692,0.001159942,,0.000078,0.002679696,0.000581531,,
120126F,,,8,31.8,0.000277559,0.000456463,9.74E-07,0.000804529,0.000000787,0.000327,0.0000125,,0.000000595,0.001171978,,0.0000507,0.001419872,0.000379,,
090123E,,,8.2,23.9,0.004958841,0.000304677,,0.001369854,8.34E-07,0.000747848,,,0.000000965,0.001084004,,0.0000911,0.002664472,0.000508982,,
140110B,,,8.4,23.5,0.003633494,0.000183,,0.00158,0.0000011,0.000346,0.000000304,0.0000625,0.000000173,0.00131,,0.0000442,0.00184,0.000485,0.000000358,0.000000344
100112AI,,,8.5,29,0.00262377,0.000200495,0.00000105,0.001159741,,0.000463755,,,0.00000764,0.000813064,,0.0000279,0.001601728,0.000372345,,0.000000333
100115AW,,,8.5,17.5,,0.0000339,,0.00735519,,0.000138169,,,0.00000461,0.004509966,,0.000142392,0.00031438,0.001652757,,
100107D,,,8.6,25.6,0.003082995,0.00034662,0.00000314,0.002981277,,0.000822143,,,0.0000101,0.003240552,,0.0000737,0.001522321,0.000838087,,
090119T,,,8.6,24.8,0.002783861,0.000238522,,0.001941063,1.26E-06,0.000342883,,3.87E-05,0.000000504,0.001842776,,0.0000461,0.001540835,0.000259481,,
090120W,,,8.7,24.2,0.002829192,0.000397358,3.04E-06,0.003398233,1.86E-06,0.000819948,,,0.00000109,0.003364932,,0.000087,0.00169101,0.000718563,,
120114O,,,8.7,23,0.002821101,0.000137794,4.61E-07,0.00129783,0.00000223,0.000311093,,1.00E-04,0.000000648,0.001190639,,0.0000408,0.00145073,0.000302,,
140116C,,,8.7,27.3,0.004746136,0.000279,,0.00154,0.000000928,0.00068,,0.00016,0.000000547,0.00137,0.00000116,0.0000982,0.00268,0.000634,0.000000358,0.000000628
090118P,,,8.8,20.2,0.003676899,0.00016934,2.08E-06,0.005530466,3.63E-06,0.00034541,,,0.000000501,0.004349369,,0.000103764,0.002147706,0.000416667,,
100114AR,,,8.8,21.5,0.00303915,0.0000785,,0.005185816,,0.000518735,,1.29E-05,0.00000792,0.005428436,,0.000104964,0.001485291,0.000445725,,0.000000272
090122B,,,8.8,17.1,0.003247974,0.0000972,,0.009359947,3.42E-06,0.000677677,,,0.00000303,0.008898306,,0.000167168,0.001776589,0.00011976,,
140111G,,,8.9,22.6,0.004106008,0.000276,,0.00153,0.00000104,0.000326,0.000000314,0.000049,0.000000533,0.00153,0.000000566,0.0000407,0.00214,0.000359,0.000000358,9.37E-08
100109X,,,8.9,23.3,0.004487971,0.000283207,0.000000937,0.001714743,,0.000381021,0.000000402,7.42E-05,0.0000072,0.001762613,,0.0000252,0.002289652,0.000396104,,0.000000393
090119S,,,9,21.6,0.002053572,0.000115718,,0.002077142,1.31E-06,0.000299923,,7.10E-05,0.000000504,0.00202812,,0.0000551,0.001227319,0.000174651,,
140116D,,,9.1,27.1,0.003978778,0.00026,,0.00192,0.00000113,0.000612,7.17E-08,0.000142,0.000000749,0.00186,0.00000254,0.000103,0.00243,0.000715,0.000000179,0.000000656
120127G,,,9.2,31,0.002348014,0.00000148,5.61E-08,0.001157563,0.000000317,0.000674,,,0.00000128,0.000853629,,0.0000375,0.002218062,0.0000492,,
100107C,,,9.3,25.4,0.001930335,0.000289473,0.00000174,0.003710151,,0.000734063,0.00000426,0.000266108,0.000000808,0.00381428,4.76E-05,0.0000904,0.001445382,0.000327454,,0.00000689
120130I,,,9.3,32.7,0.00189719,0.00000453,9.83E-08,0.002033129,0.000000522,0.000724,,,0.000000883,0.001316978,,0.0000658,0.002458342,0.0000519,,
