,Xi,MgHSiO3+,Mg+2,HSiO3-,MgOH+,ClO2-,CaCl+,H2O2,CaOH+,ClO3-,HClO,Cl-,HCl,O2,SiO2,ClO4-,ClO-,MgCl+,CaHSiO3+,HClO2,CaCl2,Ca+2,OH-,HO2-,H2,H+
0,0.0,-38.3274,-18.002,-21.5854,-23.6845,-32.6765,-24.2951,-18.4091,-24.8353,-28.6131,-21.3359,-6.0005,-12.7107,-3.5679,-18.0001,-28.8453,-22.8858,-24.1375,-38.5774,-36.6974,-30.6467,-18.002,-7.995,-24.0932,-44.3227,-6.0
1,1e-08,-18.0088,-7.701,-11.5679,-13.366,-32.6765,-24.2951,-18.4091,-24.8178,-28.6131,-21.3534,-6.0005,-12.7282,-3.5679,-8.0001,-28.8453,-22.8858,-13.8365,-28.5599,-36.7149,-30.6467,-18.0021,-7.9775,-24.0756,-44.3227,-6.0175
2,1e-07,-15.8098,-6.7012,-10.3687,-12.1669,-32.6765,-24.2953,-18.4091,-24.6187,-28.6132,-21.5527,-6.0006,-12.9276,-3.5679,-7.0002,-28.8453,-22.8858,-12.8367,-27.3608,-36.9142,-30.647,-18.0022,-7.7782,-23.8764,-44.3227,-6.2168
3,1e-06,-11.5988,-5.7042,-7.1547,-8.9245,-32.6772,-24.2988,-18.4091,-22.3761,-28.6139,-23.7989,-6.0012,-15.1737,-3.5679,-6.0316,-28.846,-22.8865,-11.8404,-24.1496,-39.1603,-30.6511,-18.005,-5.5328,-21.6309,-44.3227,-8.4622
4,7.33783e-06,-9.1305,-4.849,-5.5416,-7.1352,-32.6793,-24.3094,-18.4091,-21.4506,-28.616,-24.735,-6.0034,-16.1098,-3.5679,-5.3526,-28.8481,-22.8886,-10.9873,-22.5451,-40.0965,-30.6639,-18.0136,-4.5987,-20.6969,-44.3227,-9.3963
5,1e-05,-9.1597,-4.8415,-5.5783,-7.115,-32.6793,-24.3096,-18.4091,-21.438,-28.616,-24.7477,-6.0034,-16.1226,-3.5679,-5.402,-28.8482,-22.8887,-10.9798,-22.5819,-40.1092,-30.6641,-18.0137,-4.586,-20.6842,-44.3227,-9.409
6,0.0001,-10.5579,-4.3328,-7.4852,-6.0344,-32.6821,-24.3236,-18.4091,-20.8774,-28.6187,-25.3224,-6.0061,-16.6972,-3.5679,-7.8808,-28.8509,-22.8914,-10.4739,-24.5,-40.6839,-30.6808,-18.025,-4.0141,-20.1123,-44.3227,-9.9809
7,0.000169635,-11.1187,-4.1163,-8.2624,-5.5917,-32.6838,-24.3328,-18.4091,-20.6585,-28.6205,-25.5504,-6.0079,-16.9253,-3.5679,-8.8843,-28.8526,-22.8932,-10.2591,-25.2847,-40.9119,-30.6918,-18.0324,-3.7878,-19.886,-44.3227,-10.2072
8,0.001,-11.1187,-4.1163,-8.2624,-5.5917,-32.6838,-24.3328,-18.4091,-20.6585,-28.6204,-25.5504,-6.0079,-16.9253,-3.5679,-8.8843,-28.8526,-22.8931,-10.2591,-25.2847,-40.9119,-30.6918,-18.0324,-3.7878,-19.886,-44.3228,-10.2072
9,0.01,-11.1187,-4.1163,-8.2624,-5.5917,-32.6836,-24.3325,-18.409,-20.6584,-28.6202,-25.5503,-6.0078,-16.9252,-3.5678,-8.8843,-28.8523,-22.893,-10.259,-25.2846,-40.9116,-30.6914,-18.0323,-3.7878,-19.8859,-44.3228,-10.2072
10,0.1,-11.1187,-4.1163,-8.2624,-5.5917,-32.6815,-24.3304,-18.4085,-20.6573,-28.6175,-25.5487,-6.0067,-16.9241,-3.5667,-8.8843,-28.8491,-22.8914,-10.2579,-25.2835,-40.9095,-30.6883,-18.0312,-3.7878,-19.8854,-44.3233,-10.2072
11,1.0,-11.1186,-4.1163,-8.2625,-5.5916,-32.66,-24.309,-18.4031,-20.6466,-28.5907,-25.5326,-5.996,-16.9134,-3.556,-8.8843,-28.8169,-22.8753,-10.2472,-25.2728,-40.8881,-30.6561,-18.0205,-3.7879,-19.8801,-44.3287,-10.2071
