Sample,Year,Area,H+,Temperature,O2,Li+,Na+,K+,Rb+,Cs+,Mg+2,Ca+2,Sr+2,Ba+2,HCO3-,Pb+2,NO3-,HPO4-2,SO4-2,F-,Cl-,Br-,I-,Ni+2,Cd+2,La+3,Nd+3,Sm+3,Eu+2,Gd+3,Dy+3,Ho+3,Er+3,Tm+3,Yb+3,Lu+3,B(OH)3,SiO2,Ag+,Hg+2,Cu+2,He,Ne,Kr,Rn,Ce+3,Pr+3,Tb+3,U+4,Fe+2,Mn+2,CrO4-2,MoO4-2,WO4-2,Ga+3,Co+2,Be+2,In+3,Tl+,SeO3-2,Sn+2,SbO2-,Bi+3,Sc+3,VO+2,Y+3,Zr+4,NbO3-,Ru+3,Pm+3,Hf+4,Au+,Rh+2,Al+3,H2AsO4-,Zn+2,Pd+2,Pt+2,Ar,Xe,Am+3
id,,,pH,degC,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
Below Salt Banks,,Salt,8.3,25,8.2,,451,9.1,,,24,70,,,200,,0.06,0.12,95,,700,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Above Salt Banks,,Salt,8.3,25,8.2,,437,8.6,,,23.8,69,,,225,,0.05,0.07,95,,700,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verde River,,Verde,8,25,8.2,,22,2.5,,,31,55,,,270,,,,45,0.2,13,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genung Springs,,Verde,7.7,20,8.2,,17,1.3,,,9.6,41,,,155,,,,26,0.6,16,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,,Verde,7.9,19,8.2,,17,1.2,,,26,62,,,282,,,,5.9,0.1,31,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet Beaver Creek 1,,Verde,7.7,6,8.2,,2.2,1.3,,,4.7,11,,,56,,,,7.8,0.1,2.1,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet Beaver Creek 2,,Verde,8.1,17.5,8.2,,6.3,1.1,,,14,24,,,164,,,,3.8,0.1,2.8,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Clear Creek,,Verde,7.6,11,8.2,,4.3,1.2,,,4.5,9.6,,,46,,,,9.7,0.1,3.2,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verde River near Clarkdale,,Verde,8.25,10,9.6,,12,1.3,,,9.8,29,,,150,,,,13,0.2,6.1,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verde River below Camp Verde,,Verde,8.1,22,10.2,,40,3.3,,,38,55,,,340,,,,63,0.3,26,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sycamore Creek,,Verde,7.9,20,8.2,,5.6,1.3,,,28,65,,,330,,,,7.3,0.1,6.5,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Creek,,Verde,7.3,5,10.4,,2.8,0.8,,,8.2,17,,,86,,,,3.5,0.1,2.6,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granite Creek,,Verde,7.8,19.5,6.4,,9.697,3.28,,,4.633,17.563,,,,,,,9.475,0.19,9.142,,,,,,,,,,,,,,,,,12.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Beaver Creek,,Verde,6.9,4.5,8.2,,1.1,1.1,,,1.8,5.3,,,22,,,,3.5,0.1,1,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agua Fria River,,Verde,8.5,10.3,8.2,,69,1.6,,,43,120,,,,,,,190,0.4,100,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Creek,,Verde,8.5,12.2,8.2,,36,2.4,,,30,60,,,,,,,45,0.2,30,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
