Name,Year,Area,H+,Temperature,Na+,Mg+2,K+,Ca+2,HCO3-,Cl-,SO4-2,Br-,SiO2,Be+2,Al+3,VO+2,CrO4-2,Mn+2,Fe+2,Co+2,Ni+2,Cu+2,Zn+2,H2AsO4-,SeO3-2,Sr+2,Cd+2,SbO2-,Ba+2
,,,pH,degC,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
DN13CB11,,,6.22,73.3,0.050631218,0.000112734,0.004156191,0.001746594,0.012776809,0.041406933,0.00039975,0,0.002812839,6.17E-07,0,4.53E-08,0,8.06E-06,8.04E-06,0,0,2.68E-08,0,2.21E-05,3.80E-08,0,0,2.96E-07,4.70E-06
DN13CB14,,,6.26,78.3,0.01874312,5.02E-05,0.000718701,0.000736065,0.008010908,0.007954193,0.001540704,0,0.001741112,4.21E-07,1.11E-06,0,0,1.41E-06,7.14E-06,0,0,0,9.02E-08,2.00E-05,0,0,0,1.78E-07,6.70E-07
DNCB15-07,,,6.39,72.6,0,0,0,0,0,0.041406933,0,3.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNCB15-08,,,6.4,69.9,0.056546893,0.000183501,0.005087178,0.002849444,0.013199643,0.058669224,0.000479908,5.11E-05,0,1.36E-06,7.41E-08,0,0,1.03E-05,1.99E-05,0,0,0,1.04E-07,2.47E-05,2.91E-08,5.82E-05,0,3.32E-07,6.38E-06
DNCB15-09,,,6.64,69.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNCB15-9b,,,6.4,78,0,0,0,0,0,0.007925987,0,1.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNCB15-10,,,6.84,88.9,0.024445657,7.32E-05,0.001227675,0.001167972,0.010603637,0.01317519,0.00196752,1.53E-05,0,9.59E-07,4.45E-07,0,0,2.00E-06,1.09E-05,0,0,0,9.33E-08,3.52E-05,0,2.90E-05,0,3.24E-07,1.12E-06
DN13CB04,,,6.32,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN13CB05,,,6.56,20.4,0.215226173,0.001974902,0.017750132,0.008233944,0.034465918,0.20785265,0.000166563,0,0,1.14E-07,1.52E-06,1.20E-07,8.27E-09,7.48E-06,0.000221058,0,1.87E-08,2.61E-07,0,2.81E-05,9.50E-08,0,0,2.46E-09,8.18E-06
DN13CB06,,,6.49,47.8,0.205047732,0.001571693,0.017647826,0.007111133,0.033269526,0.184836262,0.000884864,0,0,1.42E-07,1.74E-06,1.15E-07,6.15E-09,6.32E-06,0.000117647,0,1.53E-08,2.41E-07,0,0.000144231,8.74E-08,0,0,3.29E-09,4.03E-06
DN13CB07,,,5.03,38.4,0.003571154,0.000386752,0.000301803,0.000823394,0.004261122,0.002157786,9.99E-05,0,0.00057325,6.81E-08,0,0,0,1.99E-05,0.000153371,0,0,0,9.64E-08,3.16E-08,0,0,0,0,3.17E-07
DN13CB08b,,,6.22,47.6,0.046933921,0.000711788,0.004501474,0.003767653,0.015618649,0.038699123,0.001155528,0,0.001762475,1.83E-07,0,5.30E-08,0,3.28E-06,3.53E-06,0,0,2.68E-08,0,8.30E-06,3.04E-08,0,0,5.17E-08,1.81E-06
DN13CB09,,,5.89,46.4,0.0564164,0.000401975,0.004450321,0.001282499,0.008817244,0.048176459,3.44E-05,0,0,6.04E-08,0,4.04E-08,0,3.25E-05,2.78E-06,0,0,3.15E-08,0,1.68E-08,3.80E-08,0,0,2.46E-09,8.74E-06
DN13CB13,,,6.01,39.6,0.009713016,0.000530755,0.000583146,0.001836419,0.003146674,0.001621866,0.003997502,0,0.000594613,4.06E-07,0,0,0,5.34E-05,3.50E-05,2.32E-07,3.29E-07,0,8.46E-05,5.21E-06,0,0,1.31E-08,1.47E-06,1.79E-07
DNCB15-12,,,5.95,19.2,0.029404384,0.00202016,0.004151076,0.006300215,0.015995595,0.03500409,0.000160316,4.12E-05,0,7.10E-07,7.89E-06,0,0,3.11E-05,0.000151347,5.43E-09,1.53E-08,0,9.33E-08,1.25E-07,2.53E-09,3.32E-05,0,0,3.26E-06
DNCB15-13,,,6.81,16.9,0.140192796,0.003159844,0.009258715,0.008757922,0.037006202,0.169802273,0.00047158,0.000163947,0,5.71E-08,7.41E-08,0,0,1.96E-05,3.47E-06,0,0,0,0,5.41E-08,2.41E-08,0.000133531,0,0,8.20E-06
DNCB15-11,,,8.87,36.6,0.001965657,6.17E-06,1.89E-05,0.000101053,0.001099697,0.000218599,0.000428899,0,0,0,7.78E-07,1.43E-08,0,4.37E-09,0,0,8.52E-09,3.46E-08,1.22E-07,5.11E-07,0,6.96E-07,0,0,0
DN17CB-01,,,6.5,48.8,0.001942168,0.000445999,0.000183895,0.000513499,0.003245008,0.000517587,0.000264418,0,0.00102544,8.79E-09,0,0,0,3.19E-06,1.34E-06,0,0,0,6.58E-08,2.80E-08,0,4.85E-06,0,0,1.99E-06
DNCB17-02,,,6.62,50.5,0.001975226,0.000445999,0.000185174,0.000497779,0.003245008,0.000518151,0.000264418,2.25E-06,0.001046804,8.79E-09,0,0,0,2.94E-06,3.22E-07,0,0,0,0,5.47E-08,0,4.70E-06,0,0,1.95E-06
DNCB17-06,,,7.02,36.5,0.002730345,0.000226291,8.88E-05,0.00119467,0.002840201,0.000687953,0.001253383,6.26E-07,0.000630218,8.79E-09,7.41E-08,0,0,5.40E-06,0,0,0,0,3.67E-08,3.07E-08,0,5.50E-06,0,0,4.01E-07
DNCB17-7a,,,6.12,56.8,0.000361465,0.000239868,7.80E-05,0.000275712,0.000608029,3.92E-05,0.000517385,0,0.000801125,0,0,0,0,4.80E-06,1.63E-05,6.33E-08,6.30E-08,0,7.48E-07,1.01E-07,0,7.53E-07,0,0,8.08E-07
DNCB17-7b,,,6.04,63.8,0.00037147,0.0002374,7.67E-05,0.000273467,0.000608029,3.22E-05,0.000498647,0,0.000801125,1.43E-08,0,0,0,4.76E-06,5.87E-05,6.02E-08,6.13E-08,0,1.91E-07,2.95E-07,0,7.76E-07,0,0,8.59E-07
DNCB17-09,,,6.18,61.5,0.000425842,0.00031187,8.13E-05,0.000321373,0.001014475,3.64E-05,0.000517385,1.25E-07,0.000826049,0,0,0,0,5.75E-06,4.10E-05,2.88E-09,0,0,1.53E-07,2.20E-07,0,8.22E-07,0,0,9.68E-07
DNCB17-13,,,6.31,40.6,0.004976127,0.004447645,0.000788525,0.013373921,0.00608357,0.006422588,0.015115553,1.50E-05,0.000366737,5.22E-07,0,0,2.31E-08,8.34E-08,1.07E-06,0,0,0,0,2.81E-06,0,6.87E-05,0,0,1.53E-07
DNCB17-21,,,7.47,41,0.002927389,0.001729685,0.000208705,0.004780179,0.008720549,0.002054551,0.002784718,5.26E-06,0.000345374,7.69E-09,0,0,0,2.92E-06,8.95E-07,6.11E-09,0,0,5.97E-08,1.01E-08,0,3.25E-05,0,8.95E-08,3.57E-07
DNCB17-24,,,7.98,28,0.001078306,8.80E-05,5.86E-05,0.000398473,0.001622504,0.00049897,1.41E-05,8.76E-07,0.000363177,0,0,0,0,1.05E-06,3.42E-06,0,0,0,4.59E-08,4.86E-07,0,1.60E-06,0,0,2.62E-07
DNCB17-25,,,5.96,70.7,0.004263201,0.000995268,0.00045603,0.00371775,0.005172346,0.004233774,0.002197585,1.24E-05,0.000982713,8.24E-08,3.34E-07,0,0,1.59E-05,3.43E-05,0,0,0,1.90E-07,1.21E-07,0,3.08E-05,0,5.67E-08,7.21E-07
DNCB17-30,,,6.24,45.3,0.004194475,0.000600699,0.000463959,0.003830031,0.008618938,0.00465687,0.000307412,1.40E-05,0.000904381,8.79E-09,0,0,3.58E-07,1.39E-06,5.50E-06,0,0,1.89E-08,5.97E-08,1.68E-06,0,1.02E-05,0,4.76E-08,6.47E-06
DNCB17-32,,,5.71,64.7,0.004240582,0.000494548,0.000446567,0.00123085,0.00405626,0.004036612,0.000182802,1.38E-05,0.000655142,2.09E-08,1.85E-07,0,0,5.76E-06,4.78E-06,0,0,0,4.59E-08,3.27E-06,0,9.42E-06,0,1.05E-07,5.26E-06
DNCB17-36,,,6.68,42.2,0.00081471,0.00044641,9.54E-05,0.000814162,0.002027311,0.000714185,0.000234749,1.63E-06,0.000484236,0,0,0,0,3.27E-06,2.02E-06,0,0,0,0,7.03E-07,0,4.99E-06,0,2.79E-08,1.86E-06
DNCB17-37,,,6.4,44.6,0.000945638,0.000376466,0.000159342,0.001762813,0.002636979,0.000462302,0.001273163,1.13E-06,0.000761959,1.54E-08,0,0,0,6.08E-06,8.20E-06,0,0,0,5.35E-08,7.98E-06,0,1.05E-05,0,3.12E-08,5.32E-07
DNCB17-38,,,6.48,51.5,0.000873867,0.000445176,0.000170851,0.003011627,0.003245008,0.000611232,0.001920675,1.00E-06,0.001381496,8.79E-09,1.48E-07,0,0,3.46E-06,6.95E-06,0,0,0,0,2.31E-07,0,2.51E-05,0,0,7.14E-07
