Sample,Year,Area,pH_(input),Temperature,O2_(input),Li+_(input),Na+_(input),K+_(input),Rb+_(input),Cs+_(input),Mg+2_(input),Ca+2_(input),Sr+2_(input),Ba+2_(input),HCO3-_(input),Pb+2_(input),NO3-_(input),HPO4-2_(input),SO4-2_(input),F-_(input),Cl-_(input),Br-_(input),I-_(input),Ni+2_(input),Cd+2_(input),La+3_(input),Nd+3_(input),Sm+3_(input),Eu+2_(input),Gd+3_(input),Dy+3_(input),Ho+3_(input),Er+3_(input),Tm+3_(input),Yb+3_(input),Lu+3_(input),B(OH)3_(input),SiO2_(input),Ag+_(input),Hg+2_(input),Cu+2_(input),He_(input),Ne_(input),Kr_(input),Rn_(input),Ce+3_(input),Pr+3_(input),Tb+3_(input),U+4_(input),Fe+2_(input),Mn+2_(input),CrO4-2_(input),MoO4-2_(input),WO4-2_(input),Ga+3_(input),Co+2_(input),Be+2_(input),In+3_(input),Tl+_(input),SeO3-2_(input),Sn+2_(input),SbO2-_(input),Bi+3_(input),Sc+3_(input),VO+2_(input),Y+3_(input),Zr+4_(input),NbO3-_(input),Ru+3_(input),Pm+3_(input),Hf+4_(input),Au+_(input),Rh+2_(input),Al+3_(input),H2AsO4-_(input),Zn+2_(input),Pd+2_(input),Pt+2_(input),Ar_(input),Xe_(input),Am+3_(input),Pressure,Ca+2,CaCl+,CaCl2,CaCO3,CaF+,CaHCO3+,CaHSiO3+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,CO,CO2,CO3-2,F-,H+,H2,H2N2O2,H2O,H2O2,H2P2O7-2,H2PO3-,H2PO4-,H3P2O7-,H3PO3,H3PO4,H4P2O7,HCl,HClO,HClO2,HCO3-,HF,HF2-,HN2O2-,HNO2,HNO3,HO2-,HP2O7-3,HPO3-2,HPO4-2,HSiO3-,HSO3-,HSO4-,HSO5-,K+,KCl,KHSO4,KOH,KSO4-,Mg+2,MgCl+,MgCO3,MgF+,MgHCO3+,MgHSiO3+,MgOH+,MgSO4,N2,N2O2-2,Na+,NaCl,NaF,NaHSiO3,NaOH,NaSO4-,NH3,NH4+,NO2-,NO3-,O2,OCN-,OH-,P2O7-4,PO4-3,S2O6-2,S2O8-2,SiF6-2,SiO2,SO2,SO3-2,SO4-2,pH,anhydrite,anthophyllite,antigorite,aragonite,artinite,brucite,calcite,chalcedony,chrysotile,coesite,cristobalite,"cristobalite,alpha","cristobalite,beta",diopside,dolomite,enstatite,fluorite,forsterite,halite,huntite,hydromagnesite,magnesite,monticellite,nesquehonite,quartz,sepiolite,sylvite,talc,tremolite,wollastonite,DEFAULT,O2/H2O,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,CH4(g),CO(g),CO2(g),H2(g),H2O(g),H2S(g),N2(g),NH3(g),O2(g),S2(g),SO2(g),Ca+2_total,Cl-_total,F-_total,H+_total,HCO3-_total,HPO4-2_total,K+_total,Mg+2_total,Na+_total,NO3-_total,O2_total,OH-_total,SiO2_total,SO4-2_total
,,,pH,degC,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,bar,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality
Below Salt Banks,,Salt,8.3,25.0,8.2,,451.0,9.1,,,24.0,70.0,,,200.0,,0.06,0.12,95.0,,700.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2306229574050773,-3.0576,-5.1162,-7.2329,-4.3362,,-4.5723,-6.9557,-7.5976,-4.2796,-1.7733,-18.5513,-28.2308,-24.0509,-24.1683,-50.9102,-4.5189,-4.613,,-8.3,-44.453,-73.0522,-0.000346134,-18.3045,-16.8983,-56.7726,-7.282,-22.8495,-63.2739,-13.408,-29.6072,-10.7749,-19.2945,-34.5453,-2.5733,,,-71.7952,-24.7227,-15.6798,-21.6985,-15.203,-54.6007,-6.196,-4.9184,-49.3996,-9.6523,-30.5925,-3.7099,-8.0174,-16.8292,-9.8585,-6.1623,-3.2859,-5.1839,-4.9104,,-4.8096,-6.9316,-6.668,-4.3873,-28.1385,-74.5033,-1.7816,-4.3269,,-4.8593,-7.6931,-4.4128,-69.8244,-68.8792,-19.6539,-6.0817,-3.5871,-79.7375,-5.7077,-16.23,-10.2294,-73.0413,-47.4474,,-3.6531,-55.8316,-48.3149,-3.3418,8.3,-2.8359,-3.57417,52.45326,0.92725,-5.32801,-4.08084,1.12412,0.14377,2.12113,-0.5915,-0.23735,-0.23735,-0.84375,-1.86267,3.55283,-2.24003,,-6.64485,-7.0042,-0.40429,,0.20565,-8.68422,-3.988,0.51402,1.43665,-8.6245,5.86459,4.63734,-5.24998,0.732,0.728,0.00021177173681,0.8536,0.4268,0.0282294,0.024808511911,-0.024702626043,0.02491439778,0.0290217,0.049617023823,-145.54444,-47.91247,-3.05552,-41.35271,-1.58948,-143.65084,-24.95968,-71.62364,-0.4434,-230.26013,-56.00891,0.00175164,0.0198026,,,0.00328739,1.25394e-06,0.00023343,0.000990351,0.019675,9.70507e-07,0.000257012,0.000103402,0.000250382,0.000991894
Above Salt Banks,,Salt,8.3,25.0,8.2,,437.0,8.6,,,23.8,69.0,,,225.0,,0.05,0.07,95.0,,700.0,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2306229574050773,-3.0657,-5.1241,-7.2406,-4.2927,,-4.5289,-6.9838,-7.6057,-4.2859,-1.7731,-18.5511,-28.2306,-24.0507,-24.1681,-50.8587,-4.4673,-4.5614,,-8.3,-44.453,-73.2102,-0.000344245,-18.3045,-17.3651,-57.006,-7.5154,-23.3163,-63.5073,-13.6414,-30.074,-10.7747,-19.2942,-34.5451,-2.5218,,,-71.9532,-24.8017,-15.7588,-21.6985,-15.6698,-54.8341,-6.4294,-4.9384,-49.3978,-9.6505,-30.5906,-3.7342,-8.0416,-16.8517,-9.8828,-6.1847,-3.2907,-5.1885,-4.8637,,-4.7629,-6.9565,-6.6729,-4.3903,-28.2965,-74.6613,-1.7951,-4.3402,,-4.8928,-7.7066,-4.4244,-69.9034,-68.9582,-19.7329,-6.1607,-3.5871,-79.7649,-5.7076,-16.6968,-10.4628,-73.0376,-47.4437,,-3.6731,-55.8297,-48.3131,-3.34,8.3,-2.84442,-3.83897,51.2068,0.98652,-5.27095,-4.08748,1.18339,0.11648,2.04664,-0.61879,-0.26464,-0.26464,-0.87104,-1.93495,3.67579,-2.27396,,-6.68542,-7.0223,-0.15394,,0.26934,-8.72921,-3.9243,0.48672,1.24636,-8.6574,5.73551,4.36369,-5.28833,0.732,0.728,-0.00089439825811,-3.627,-1.8135,0.0280442,0.024659606635,-0.025106805764,0.024212407506,0.0288508,0.04931921327,-145.49289,-47.86092,-3.00397,-41.35271,-1.58948,-143.64897,-25.11769,-71.70264,-0.4434,-230.25639,-56.00704,0.00172661,0.0198026,,,0.00369832,7.31466e-07,0.000220604,0.000982098,0.0190643,8.08756e-07,0.000257012,0.000109721,0.000238698,0.000991894
Verde River,,Verde,8.0,25.0,8.2,,22.0,2.5,,,31.0,55.0,,,270.0,,,,45.0,0.2,13.0,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2306229574050773,-3.0594,-6.8213,-10.6412,-4.4821,-7.3948,-4.4182,-7.1401,-7.8991,-4.5056,-3.4766,-20.2546,-29.9341,-25.7541,-25.8716,-50.4546,-4.0633,-4.7571,-5.0271,-8.0,-44.4527,,-6.88693e-05,-18.3043,,,,,,,,-12.1782,-20.6977,-35.9486,-2.4175,-9.854,-15.501,,,,-21.9982,,,,-5.101,-49.3238,-9.5766,-30.5167,-4.2384,-10.2493,-17.282,-10.6868,-6.915,-3.0812,-6.6824,-4.8498,-6.7429,-4.449,-6.9095,-6.7631,-4.4068,,,-3.0621,-7.3107,-9.0808,-6.3223,-9.2733,-5.9175,,,,,-3.5891,,-6.0074,,,-72.89,-47.2961,-39.3654,-3.536,-55.456,-48.5391,-3.566,8.0,-3.14421,-6.0678,32.03019,0.7282,-5.78277,-4.61938,0.92507,0.30357,0.82474,-0.4317,-0.07755,-0.07755,-0.68394,-2.9026,3.43643,-2.61915,-4.17772,-7.56289,,-0.35539,,0.2883,-9.88395,-3.90422,0.67382,0.24244,,4.88742,1.5803,-5.91079,0.75,0.746,0.00058200408179,10.1672,5.0836,0.00860314,0.0057243493917,-0.0054333473508,0.0060153514326,0.00917233,0.011448698783,-145.08829,-47.45687,-2.59993,-41.35243,-1.5892,-143.27504,,,-0.4434,-229.50908,-55.63339,0.00137629,0.000367763,1.05581e-05,3.13087e-06,0.00443798,,6.41292e-05,0.0012792,0.000959758,,0.000257012,,0.000300459,0.000469845
Genung Springs,,Verde,7.7,20.0,8.2,,17.0,1.3,,,9.6,41.0,,,155.0,,,,26.0,0.6,16.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2362398408976407,-3.1367,-6.8186,-10.4984,-5.1866,-6.9947,-4.7313,-7.3407,-8.5091,-4.7717,-3.3777,-20.3529,-30.174,-25.9006,-25.9611,-51.212,-3.9662,-5.3393,-4.5361,-7.7,-45.2764,,-4.65181e-05,-18.6071,,,,,,,,-11.7499,-20.4543,-35.93,-2.6526,-9.1026,-14.2803,,,,-22.696,,,,-5.2204,-50.0251,-9.5094,-30.8068,-4.5125,-10.4838,-17.5487,-11.4536,-7.37,-3.5461,-7.0492,-5.9215,-6.7199,-5.1513,-7.4845,-7.7158,-5.0619,,,-3.1647,-7.3278,-8.7121,-6.4774,-9.8452,-6.2064,,,,,-3.59,,-6.4772,,,-73.7024,-47.6237,-34.7643,-3.3069,-55.9046,-49.516,-3.7412,7.7,-3.49761,,,-0.20653,-8.97772,-6.41756,-0.01263,0.74088,-3.71743,0.00673,0.35727,0.35727,-0.25734,-5.09517,0.98022,-4.01939,-2.83969,,,-5.87201,,-1.23408,,-5.39732,1.11112,-4.21088,,1.18851,-6.50592,-6.71118,0.779,0.775,0.00013102649654,3.7942,1.8971,0.00506311,0.0034533742584,-0.0033878610101,0.0035188875067,0.00532786,0.0069067485168,-147.64488,-48.25047,-2.56521,-42.18976,-1.72136,-145.43185,,,-0.48122,-232.65587,-56.16371,0.00102475,0.0004521,3.16372e-05,8.68698e-05,0.00254474,,3.33081e-05,0.000395676,0.000740761,,0.000256711,,0.000500177,0.000271147
Spring Creek,,Verde,7.9,19.0,8.2,,17.0,1.2,,,26.0,62.0,,,282.0,,,,5.9,0.1,31.0,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2348208833356118,-2.9914,-6.3975,-9.7894,-4.6066,-7.6422,-4.3322,-7.3723,-8.2113,-5.3296,-3.0985,-20.114,-29.9642,-25.6719,-25.721,-51.3252,-3.9056,-4.8958,-5.3266,-7.9,-45.444,,-6.90638e-05,-18.6691,,,,,,,,-11.6643,-20.4068,-35.9284,-2.3991,-10.1009,-16.0736,,,,-22.5776,,,,-5.397,-51.0936,-10.4216,-31.7917,-4.5556,-10.2596,-18.5158,-11.3362,-8.1147,-3.141,-6.3647,-5.0776,-7.1055,-4.4927,-7.2536,-7.1489,-5.3603,,,-3.1727,-7.0592,-9.5145,-6.6481,-9.688,-6.9172,,,,,-3.5898,,-6.3121,,,-75.7196,-49.5424,-40.6266,-3.6737,-57.1823,-50.38,-4.442,7.9,-4.24109,,-7.37173,0.5745,-6.82927,-5.4104,0.76781,0.27604,-1.63004,-0.45789,-0.10806,-0.10806,-0.72435,-4.35749,2.87791,-3.48483,-4.7375,-9.26807,,-1.74443,,-0.11759,,-4.27811,0.64628,-2.9486,,2.34007,-3.87944,-6.50963,0.77,0.766,0.0004472473005,7.9631,3.9815,0.00817772,0.0056165124273,-0.0053928887771,0.0058401360776,0.00853878,0.011233024855,-148.12487,-48.3715,-2.51762,-42.36031,-1.74838,-147.05749,,,-0.48933,-235.66952,-57.45835,0.00154931,0.000875765,5.27179e-06,6.73792e-05,0.00462885,,3.07396e-05,0.0010714,0.00074061,,0.000256658,,0.000216699,6.15171e-05
Wet Beaver Creek 1,,Verde,7.7,6.0,8.2,,2.2,1.3,,,4.7,11.0,,,56.0,,,,7.8,0.1,2.1,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.122115211362762,-3.6433,-8.2344,-12.6478,-6.4033,-8.2865,-5.6513,-8.3088,-9.7106,-5.7494,-4.2463,-21.8182,-32.0694,-27.5269,-27.4273,-54.0513,-4.2801,-5.9288,-5.2994,-7.7,-47.7086,,-1.64013e-05,-19.521,,,,,,,,-12.5143,-21.7852,-37.9352,-3.0843,-9.9717,-15.9833,,,,-23.9059,,,,-5.6879,-52.8962,-10.1048,-32.4664,-4.4979,-11.5088,-18.2932,-12.0242,-7.8018,-3.7942,-8.1513,-6.8193,-7.7206,-5.8172,-8.1543,-8.518,-5.7853,,,-4.0386,-9.1024,-10.4001,-7.6098,-11.2321,-7.5435,,,,,-3.5911,,-6.9967,,,-77.7079,-50.204,-38.9407,-3.6367,-58.8969,-52.3336,-4.1845,7.7,-4.7004,,,-1.66847,,-7.70016,-1.48276,0.69384,-7.72235,-0.03708,0.30342,0.30342,-0.3355,-8.07765,-1.7771,-5.45597,-5.11865,,,,,-2.53136,,-6.74907,1.06395,-9.3163,,-2.99441,,-8.27734,0.811,0.807,-3.1845180614e-05,-2.9801,-1.4901,0.0016076,0.0010685786177,-0.001084501208,0.0010526560274,0.00167782,0.0021371572353,-155.82912,-51.21434,-3.07633,-44.67225,-2.11708,-153.48794,,,-0.61377,-245.31162,-59.41016,0.000274457,5.92351e-05,5.26371e-06,4.82333e-05,0.000917794,,3.32502e-05,0.00019338,9.56968e-05,,0.000256265,,0.000233011,8.1203e-05
Wet Beaver Creek 2,,Verde,8.1,17.5,8.2,,6.3,1.1,,,14.0,24.0,,,164.0,,,,3.8,0.1,2.8,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2309640688346186,-3.3537,-7.7975,-12.2085,-5.0139,-7.9929,-4.9101,-7.3668,-8.4454,-5.8115,-4.131,-21.2077,-31.102,-26.7812,-26.8132,-51.9933,-4.311,-4.9275,-5.3116,-8.1,-45.697,,-3.65827e-05,-18.7629,,,,,,,,-12.887,-21.6871,-37.2783,-2.6154,-10.2975,-16.2623,,,,-22.5014,,,,-5.0288,-51.6629,-10.7544,-32.2347,-4.5805,-11.3351,-18.8914,-11.2211,-8.2568,-3.3633,-7.619,-5.3386,-7.3129,-4.9312,-7.104,-7.2289,-5.7027,,,-3.5917,-8.5144,-9.9242,-6.6778,-9.9596,-7.455,,,,,-3.5904,,-6.1651,,,-76.6771,-50.3512,-41.0814,-3.4909,-57.9653,-50.7427,-4.558,8.1,-4.87444,-8.98645,8.27646,0.03769,-7.03486,-5.2832,0.23013,0.56038,-0.68647,-0.17321,0.17554,0.17554,-0.44328,-3.71845,1.97123,-3.08498,-5.13722,-8.753,,-3.39599,,-0.48771,,-4.64582,0.93061,-0.69971,,3.84307,-1.09902,-6.27276,0.762,0.758,-0.00019146775424,-7.1203,-3.5601,0.0038729,0.0026890459014,-0.0027847797785,0.0025933120243,0.00397494,0.0053780918028,-149.34713,-49.05147,-2.94279,-42.618,-1.7892,-148.36619,,,-0.50185,-237.92797,-58.26703,0.000599564,7.90789e-05,5.27029e-06,8.1161e-06,0.00269119,,2.817e-05,0.000576746,0.000274383,,0.000256585,,0.000333289,3.96099e-05
West Clear Creek,,Verde,7.6,11.0,8.2,,4.3,1.2,,,4.5,9.6,,,46.0,,,,9.7,0.1,3.2,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1879644259680915,-3.7012,-8.0967,-12.3784,-6.5462,-8.3389,-5.8073,-8.5265,-9.6128,-5.7023,-4.063,-21.4138,-31.5055,-27.0601,-27.0176,-53.1614,-4.315,-6.056,-5.2989,-7.6,-46.8183,,-1.55121e-05,-19.1829,,,,,,,,-12.272,-21.3319,-37.2332,-3.1723,-9.8343,-15.8184,,,,-23.5568,,,,-5.8427,-51.8126,-9.8554,-31.8256,-4.5323,-11.298,-18.0203,-11.9416,-7.7405,-3.8122,-7.9942,-6.9445,-7.7453,-5.9318,-8.3469,-8.4333,-5.6968,,,-3.7471,-8.6172,-10.0907,-7.5515,-10.8507,-7.1501,,,,,-3.591,,-6.9035,,,-76.1754,-49.1919,-38.9211,-3.7409,-57.672,-51.3665,-4.0877,7.6,-4.68128,,,-1.9181,,-7.64493,-1.72947,0.41302,-8.09554,-0.31908,0.025,0.025,-0.60503,-8.59002,-2.15995,-5.64393,-5.35724,,,,,-2.66404,,-6.83891,0.7832,,,-3.89991,,-8.59496,0.805,0.802,6.1016477069e-05,5.952,2.976,0.00154063,0.0010251407457,-0.00099463250715,0.0010556489842,0.00160808,0.0020502814914,-152.97751,-50.27593,-3.03689,-43.76187,-1.97128,-150.40631,,,-0.56142,-240.41534,-58.09009,0.000239604,9.02923e-05,5.26542e-06,4.53168e-05,0.000754147,,3.07025e-05,0.000185211,0.000187104,,0.000256348,,0.000183139,0.000101016
Verde River near Clarkdale,,Verde,8.25,10.0,9.6,,12.0,1.3,,,9.8,29.0,,,150.0,,,,13.0,0.2,6.1,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1772231276038838,-3.274,-7.4024,-11.4045,-4.9707,-7.6241,-4.8598,-7.2824,-8.586,-5.2098,-3.7934,-21.1534,-31.2422,-26.7433,-26.6551,-53.501,-4.4374,-4.8991,-5.01,-8.25,-47.0287,,-3.77339e-05,-19.2153,,,,,,,,-12.6445,-21.7116,-37.6276,-2.6537,-10.2029,-15.9035,,,,-22.9609,,,,-5.0266,-52.6053,-10.449,-32.4622,-4.5088,-11.0172,-18.6021,-11.3109,-7.65,-3.522,-7.433,-5.5015,-7.1652,-5.1216,-7.2369,-7.5332,-5.3416,,,-3.3127,-7.9153,-9.3711,-6.2857,-9.8037,-6.6499,,,,,-3.5223,,-6.2914,,,-77.601,-50.446,-39.5579,-3.5649,-59.1232,-51.5058,-4.0206,8.25,-4.03523,,-6.29152,0.13646,-7.53207,-5.65144,0.3245,0.67019,-1.6052,-0.06167,0.2817,0.2817,-0.35009,-3.90909,1.75853,-3.40081,-4.02244,-9.49572,,-4.25651,,-0.80023,,-4.98168,1.04036,-1.34846,,3.09889,-2.22803,-6.15856,0.772,0.768,-0.00010785113724,-3.8653,-1.9327,0.00401022,0.0027902202006,-0.0028441457692,0.0027362946319,0.00412579,0.0055804404011,-153.8074,-50.62482,-3.17383,-43.97606,-2.00005,-152.32722,,,-0.50295,-243.93816,-59.55989,0.000723735,0.000172103,1.05298e-05,,0.00245894,,3.32579e-05,0.00040331,0.000522102,,0.000300087,4.98634e-06,0.000283007,0.000135369
