Sample,Temperature,Eh,O2,H+,HCO3-,acetic-acid,Al+3,SbO2-,H2AsO4-,Ba+2,Be+2,Bi+3,B(OH)3,Br-,Cd+2,Ca+2,Ce+3,Cs+,Cl-,CrO4-2,Co+2,Cu+2,Dy+3,Er+3,Eu+2,F-,Gd+3,Ga+3,Au+,Hf+4,Ho+3,In+3,I-,Fe+2,La+3,Pb+2,Li+,Lu+3,Mg+2,Mn+2,Hg+2,MoO4-2,Nd+3,Ni+2,NbO3-,NO3-,NO2-,Pd+2,HPO4-2,Pt+2,K+,Pr+3,ReO4-,Rb+,Ru+3,Sm+3,Sc+3,SeO3-2,SiO2,Ag+,Na+,Sr+2,SO4-2,Tb+3,Tl+,Th+4,Tm+3,Sn+2,WO4-2,U+4,VO+2,Yb+3,Y+3,Zn+2,Zr+4
,degC,volts,ppm,pH,Molality,Molality,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
Coalbrook Mine 1,9.2,0.22,1.2,5.5,0.00578,1.00E-10,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
Coalbrook Mine 2,9.2,0.22,1.2,5.5,0.00578,1.00E-09,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
Coalbrook Mine 3,9.2,0.22,1.2,5.5,0.00578,1.00E-08,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
Coalbrook Mine 4,9.2,0.22,1.2,5.5,0.00578,5.00E-08,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
Coalbrook Mine 5,9.2,0.22,1.2,5.5,0.00578,1.00E-07,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
Coalbrook Mine 6,9.2,0.22,1.2,5.5,0.00578,2.50E-07,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
Coalbrook Mine 7,9.2,0.22,1.2,5.5,0.00578,3.50E-07,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
Coalbrook Mine 8,9.2,0.22,1.2,5.5,0.00578,5.00E-07,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
Coalbrook Mine 9,9.2,0.22,1.2,5.5,0.00578,7.50E-07,9,0.02,0.03,20,0.25,0.01,12,0.012,0.09,27,0.12,0.099,8.3,0.5,0.43,0.7,0.054,0.033,0.011,0.1,0.07,0.02,0.0012,0.002,0.01,0.001,0.001,49,0.43,0.3,17,0.003,18,19,0.2,0.4,0.29,25,0.01,0.03,0.02,0.02,0.001,0.02,1.2,0.076,0.001,2.7,0.02,0.062,1,3.9,5.8,0.2,6.1,130,114,0.009,0.007,0.003,0.005,0.1,0.11,0.006,0.089,0.019,0.45,53,0.03
